,lat,long,N
0,-23.29,-68.18,1
1,-22.93,-43.44,32
2,-20.43,-41.86,1
3,-22.96,-42.98,5
4,-29.86,-51.14,6
5,-7.27,-37.35,1
6,-5.18,-37.36,27
7,-23.97,-46.35,103
8,-25.53,-54.57,1
9,-22.96,-43.24,46
10,-29.36,-49.73,46
11,-4.84,-37.25,36
12,-22.96,-43.22,99
13,-23.54,-45.07,11
14,-19.89,-43.93,26
15,-29.31,-50.85,191
16,-22.44,-44.53,32
17,-25.61,-54.48,358
18,-19.93,-43.93,201
19,-23.5,-46.87,90
20,-23.04,-43.5,9
21,-20.6,-40.43,193
22,-2.78,-55.03,2
23,-2.75,-42.83,80
24,-4.16,-38.11,31
25,-24.59,-48.59,5
26,-20.24,-46.37,2
27,-3.06,-60.01,4
28,-20.15,-46.66,15
29,-34.38,-53.84,1
30,10.21,-84.37,1
31,-21.84,-43.79,4
32,-21.21,-47.8,120
33,-22.46,-42.06,1
34,-15.78,-47.89,24
35,-23.59,-46.64,2
36,-22.42,-42.97,23
37,-22.44,-43.16,4
38,11.24,-74.19,36
39,-17.77,-48.66,22
40,-22.9,-43.19,219
41,-22.4,-43.13,136
42,-20.44,-41.87,1
43,-19.98,-44.02,18
44,-22.85,-46.33,3
45,-14.17,-47.82,4
46,-15.74,-47.93,10
47,-22.93,-43.2,5
48,-25.58,-54.52,58
49,-22.96,-43.25,9
50,2.81,-60.74,9
51,10.44,-64.17,1
52,-29.19,-51.2,5
53,-29.45,-51.31,182
54,-25.7,-54.44,6
55,-20.39,-41.03,41
56,-2.51,-43.25,1
57,-15.58,-56.1,164
58,-20.66,-40.47,37
59,-22.43,-43.25,4
60,-22.45,-42.98,27
61,38.65,-9.24,1
62,-3.09,-59.93,21
63,-22.11,-45.06,1
64,-3.04,-59.98,1
65,-20.05,-44.02,24
66,-19.8,-41.72,3
67,-20.14,-44.9,1
68,-16.7,-49.24,251
69,-24.31,-47.0,6
70,-3.1,-60.03,241
71,-23.78,-45.36,4
72,-18.24,-43.6,3
73,-22.47,-43.0,1
74,-23.01,-45.57,4
75,-16.69,-43.84,4
76,-29.1,-49.64,1
77,-25.41,-51.52,1
78,-21.71,-43.42,5
79,-22.52,-42.98,6
80,38.27,-0.7,17
81,-11.43,-40.6,1
82,-21.72,-43.92,9
83,-22.96,-43.27,127
84,-22.87,-43.78,29
85,-20.35,-41.96,4
86,-2.8,-40.51,16
87,-9.61,-35.76,23
88,-22.92,-43.18,7
89,-8.01,-34.94,33
90,-29.47,-52.03,2
91,-23.67,-46.72,1
92,19.42,-102.06,1
93,-16.09,-47.99,1
94,-28.15,-54.74,12
95,-29.92,-51.17,87
96,43.62,-7.58,1
97,-23.54,-46.58,2
98,-16.75,-43.89,4
99,-23.17,-45.89,98
100,-3.1,-60.02,138
101,-20.77,-41.68,2
102,9.73,-82.83,1
103,-22.8,-43.2,3
104,-29.49,-51.36,143
105,-15.57,-56.07,3
106,-23.36,-44.73,2
107,-19.92,-43.93,392
108,-22.36,-47.38,4
109,-22.46,-41.88,4
110,-3.73,-40.99,3
111,-29.64,-52.2,223
112,-15.56,-48.11,17
113,-23.83,-46.73,1
114,-27.73,-48.51,28
115,-22.51,-42.28,2
116,-23.42,-46.02,7
117,-9.39,-40.5,25
118,-23.03,-46.84,4
119,-19.81,-43.98,1
120,-22.7,-45.53,2
121,-29.94,-51.04,1
122,-21.79,-46.59,98
