,0
550408206317813761,APA DA PEDRA BRANCA
550391282884169728,PARQUE NACIONAL DA SERRA DA CAPIVARA
550379766810161153,PARQUE NACIONAL DO IGUAÇU
550377548828258305,PARQUE NACIONAL DO IGUAÇU
550374938998493185,PARQUE NACIONAL DA TIJUCA
550371617004855296,PARQUE NACIONAL DA SERRA GERAL
550362017069301760,PARQUE ESTADUAL PICO DO ITAMBÉ
550353738578550784,APA DA PEDRA BRANCA
550345621077368832,PARQUE NACIONAL DA TIJUCA
550344252111466496,PARQUE NACIONAL DE UBAJARA
550331009976516608,PARQUE NACIONAL DA SERRA DO CIPÓ
550329262155513856,PARQUE NACIONAL DOS LENÇOIS MARANHENSES
550325492742893568,PARQUE NACIONAL DOS LENÇOIS MARANHENSES
550321915169370112,PARQUE NACIONAL DOS LENÇOIS MARANHENSES
550320876051509249,ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU
550312630133743617,PARQUE NACIONAL DO ITATIAIA
550308559939203072,PARQUE NACIONAL DE UBAJARA
550306346508505088,PARQUE NACIONAL DE UBAJARA
550303916739796992,PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES
550294298257022976,PARQUE NACIONAL DO IGUAÇU
550289636291932160,PARQUE NACIONAL DA AMAZÔNIA
550285230225887233,PARQUE NACIONAL DO IGUAÇU
550282762830090240,PARQUE NACIONAL DE ILHA GRANDE
550282416745881601,FLORESTA NACIONAL DE CARAJÁS
550282404620144640,FLORESTA NACIONAL DE CARAJÁS
550279699927416832,PARQUE NATURAL MUNICIPAL DA PRAINHA
550260879863062528,PARQUE NACIONAL DA SERRA DA BOCAINA
550245044020461568,ÁREA DE PROTEÇÃO AMBIENTAL MEANDROS DO ARAGUAIA
550234871789281280,MONUMENTO NATURAL DAS FALÉSIAS DE BEBERIBE
550102742924939264,ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS
550090589140946946,PARQUE NACIONAL DA SERRA DA CANASTRA
550086638735331328,PARQUE NACIONAL DE ANAVILHANAS
550066051166134272,PARQUE NACIONAL DA SERRA DA CANASTRA
550046691525926914,FLORESTA NACIONAL DE IPANEMA
550045309880258561,ESTAÇÃO ECOLÓGICA DE RIBEIRÃO PRETO
550042436572299265,RESERVA BIOLÓGICA UNIÃO
549989349153333248,PARQUE NACIONAL DE UBAJARA
549989277715939329,FLORESTA NACIONAL DE TRÊS BARRAS
549982141799755776,PARQUE NACIONAL DAS EMAS
