,lat,long,N
228,-23.87,-52.88,5
229,-22.87,-43.41,1
230,-22.41,-42.97,17
231,-50.34,-72.27,1
232,-21.71,-43.9,44
233,-25.78,-49.7,3
234,-15.56,-56.07,1
235,-20.44,-41.8,32
236,-23.6,-46.75,9
237,-24.31,-47.0,8
238,-9.32,-36.47,1
239,-22.46,-42.65,12
240,-22.99,-43.2,2
241,-2.53,-43.12,5
242,-23.47,-46.67,1
243,-22.89,-43.35,8
244,-22.97,-43.2,13
245,1.65,-77.58,1
246,-25.5,-54.54,1
247,-16.71,-49.32,4
248,-12.51,-41.57,6
249,-22.81,-41.94,2
250,-32.54,-52.54,1
251,-24.58,-50.25,11
252,-29.1,-50.34,2
253,4.54,-75.77,1
254,-25.29,-49.22,1
255,6.57,-75.58,1
256,-22.45,-42.95,6
257,-23.46,-46.76,15
258,-22.96,-43.48,1
259,-22.4,-43.13,8
260,-9.62,-35.72,2
261,-20.36,-40.3,6
262,-1.43,29.57,1
263,-7.97,-34.84,2
264,-18.37,-40.14,3
265,-22.33,-42.55,1
266,44.88,15.62,1
267,-26.98,-48.65,2
268,-16.39,-39.17,1
269,-22.8,-43.2,2
270,-49.27,-73.04,1
271,-24.32,-47.0,2
272,-20.34,-40.31,1
273,38.75,-9.1,1
274,-23.57,-46.78,1
275,-24.66,-48.45,1
276,-29.55,-51.56,1
277,-22.88,-43.34,1
278,-5.74,-36.55,1
279,-22.96,-43.49,1
280,-23.53,-46.32,4
281,27.97,-15.61,2
282,-22.3,-42.54,5
283,-7.22,-46.45,1
284,-25.55,-54.59,54
285,-22.89,-43.44,13
286,-22.69,-45.74,1
287,-25.49,-48.96,1
288,-18.24,-39.82,2
289,-20.53,-41.67,1
290,-22.87,-43.44,3
291,-18.12,-43.34,1
292,-23.53,-46.7,1
293,-20.38,-43.48,4
294,10.63,-63.19,2
295,-25.55,-54.58,2
296,-23.8,-45.36,1
297,-13.8,-47.46,1
298,-22.97,-43.02,9
299,-16.55,-49.16,1
300,-19.94,-43.48,2
301,-20.09,-43.8,3
302,-19.94,-43.92,4
303,-45.47,-72.82,1
304,-7.25,-39.5,2
305,29.25,-81.64,1
306,42.87,-8.55,1
307,-22.97,-43.01,1
308,38.9,-9.18,2
309,51.18,-115.57,1
310,-22.55,-45.78,1
311,-1.69,-50.48,1
312,-1.43,-48.42,1
313,-28.53,-49.33,1
314,-22.93,-44.0,4
315,-23.66,-46.6,1
316,-19.92,-43.95,85
317,52.86,-117.76,1
318,-25.68,-54.43,5
319,-22.46,-44.59,1
320,-9.53,-77.53,4
321,-9.92,-77.18,1
322,40.77,-73.97,1
323,-20.3,-40.29,2
324,-8.99,-77.67,1
325,-27.84,-54.48,7
326,-19.94,-43.93,2
327,-21.67,-43.87,1
328,-25.47,-49.53,1
329,-22.65,-44.58,1
330,-22.64,-43.43,13
331,-9.55,-35.72,1
332,-22.8,-43.21,2
333,-23.47,-46.53,1
334,-1.46,-48.49,18
335,-29.05,-50.14,3
336,-29.15,-50.06,2
337,-20.38,-43.5,1
338,-23.77,-46.52,1
339,-15.36,-47.45,5
340,-28.03,-49.62,1
341,-22.45,-42.98,12
342,-6.34,-47.41,1
343,-20.06,-44.03,15
344,-16.52,-39.15,1
345,-28.98,-52.02,2
346,-15.8,-48.86,4
347,-23.99,-46.74,1
348,8.98,-79.53,2
349,0.02,-51.06,1
350,-8.28,-35.94,2
351,-19.86,-43.86,1
352,41.72,-8.15,22
353,-18.59,-46.51,15
354,-8.29,-35.99,1
355,42.67,0.06,1
356,8.88,-79.79,1
357,38.13,-7.45,1
358,-19.89,-44.0,3
359,-20.41,-43.51,4
360,-1.75,-52.24,1
361,-20.35,-40.32,2
362,-12.15,-77.02,7
363,-23.79,-46.51,4
364,-22.28,-42.53,1
365,-23.5,-46.16,1
366,-15.37,-47.45,5
367,-3.08,-60.01,11
368,-16.0,-41.3,1
369,-23.4,-46.58,2
370,-20.4,-54.59,2
371,8.07,-81.37,1
372,-2.49,-44.27,1
373,-25.25,-50.02,11
374,-2.49,-44.29,3
375,-22.86,-42.03,1
376,-22.33,-44.58,4
377,-22.92,-43.23,2
378,-23.7,-46.55,1
379,40.54,17.38,1
380,-30.35,-51.03,4
381,-29.66,-53.81,4
382,41.7,-8.17,3
383,-15.85,-48.9,1
384,-23.89,-46.43,1
385,-4.09,-41.68,2
386,-23.88,-47.99,10
387,-15.6,-56.1,2
388,-14.59,-39.29,1
389,-22.9,-43.45,2
390,-29.19,-49.95,1
391,28.12,-15.52,1
392,-20.42,-40.91,8
393,-12.56,-41.39,1
394,-15.8,-46.98,2
395,-29.2,-49.99,1
396,-4.16,-38.11,15
397,-26.24,-48.51,1
398,-54.67,-68.5,3
399,-25.45,-49.21,3
400,-23.63,-46.83,1
401,-15.02,-44.05,2
402,-16.75,-43.89,5
403,-22.65,-42.4,1
404,-22.97,-43.03,3
405,-29.4,-50.87,1
406,-9.01,-42.7,2
407,-20.29,-40.34,1
408,-21.84,-46.58,2
409,-4.93,-37.11,1
410,-16.72,-49.24,2
411,-7.34,-47.48,2
412,-23.58,-46.81,1
413,-18.25,-43.6,4
414,-22.57,-52.18,4
415,-20.24,-46.37,1
416,-13.41,-41.28,1
417,-25.4,-49.25,1
418,-13.0,-41.35,1
419,-1.32,36.8,1
420,-1.19,36.91,1
421,-7.33,-47.47,7
422,-19.86,-43.97,2
423,-14.1,-46.35,2
424,-15.79,-47.76,1
425,-23.17,-45.89,7
426,-22.97,-43.44,6
427,-25.39,-49.04,1
428,-22.42,-43.25,1
429,-15.62,-47.87,1
430,-14.13,-47.52,5
431,-25.45,-49.28,1
432,-16.58,-39.56,4
433,-7.34,-47.45,1
434,-24.3,-53.84,1
435,-9.12,-43.8,3
436,-26.92,-49.25,1
437,14.92,-88.23,2
438,14.54,-88.71,1
439,-7.32,-47.44,3
440,-11.43,-40.59,1
441,-21.95,-42.01,2
442,-3.76,-38.49,1
443,-19.95,-44.0,13
444,-28.07,-52.02,1
445,-18.86,-41.93,3
446,-21.22,-50.44,1
447,-23.8,-45.4,1
448,-3.08,-60.0,1
449,-41.32,-72.98,1
450,-23.04,-43.51,1
451,36.56,-118.77,1
452,-9.07,-77.64,1
453,46.38,-90.64,1
454,-24.1,-47.99,2
455,-27.59,-48.55,1
456,-12.81,-41.33,1
457,-23.08,-44.97,2
458,-22.86,-46.34,1
459,-27.48,-49.57,3
460,-19.82,-43.95,3
461,-22.46,-44.61,3
462,-41.0,-71.5,4
463,-20.36,-42.01,2
464,-23.19,-46.88,3
465,42.24,-8.73,1
466,-22.92,-43.27,3
467,-3.97,-38.28,1
468,-20.66,-40.49,1
469,-29.2,-49.95,2
470,-23.99,-46.41,1
471,-22.93,-43.44,6
472,-10.23,-48.32,1
473,-29.39,-50.87,1
474,-21.75,-43.35,1
475,-27.17,-51.51,4
476,-54.81,-68.31,7
477,-22.97,-46.53,2
478,-26.5,-49.09,1
479,41.01,-8.64,2
480,-29.96,-51.61,4
481,-3.77,-40.9,1
482,-27.47,-48.49,1
483,-14.47,-46.12,1
484,-3.77,-38.57,1
485,-24.49,-47.84,1
486,-15.86,-48.04,1
487,-22.99,-43.46,1
