,lat,long,N
228,-19.62,-42.76,1
229,-23.44,-46.53,1
230,-29.05,-50.14,17
231,-15.59,-56.08,2
232,-29.61,-52.19,14
233,-20.02,-48.92,2
234,-19.76,-55.0,1
235,-20.39,-41.03,124
236,-19.91,-44.08,12
237,-22.97,-43.25,34
238,-6.81,-35.08,1
239,-7.06,-34.85,17
240,-18.58,-46.5,23
241,-23.88,-48.0,14
242,-19.65,-42.63,2
243,-23.19,-45.89,6
244,-22.95,-43.49,3
245,-23.45,-47.74,1
246,-23.69,-46.54,1
247,-26.1,-50.32,1
248,-22.86,-41.99,1
249,-19.46,-42.55,4
250,-27.89,-53.3,8
251,27.76,-81.46,1
252,-22.86,-48.44,2
253,-15.57,-56.06,3
254,-8.28,-35.94,10
255,-20.76,-41.53,8
256,-16.71,-43.94,1
257,-19.8,-43.96,2
258,-5.92,-35.27,1
259,-21.87,-43.32,2
260,-22.93,-43.34,2
261,-18.23,-43.61,10
262,-23.41,-46.89,1
263,-25.09,-50.16,5
264,-23.72,-46.04,17
265,-25.45,-49.38,8
266,-23.57,-46.78,24
267,-23.59,-46.69,1
268,-23.5,-46.62,1
269,-20.34,-46.42,5
270,-18.85,-41.95,4
271,-14.13,-47.52,10
272,-19.17,-41.47,1
273,-18.08,-52.92,1
274,-7.24,-47.14,1
275,-17.56,-52.53,11
276,-2.8,-40.5,5
277,-15.63,-56.06,1
278,-29.35,-49.73,32
279,-12.56,-41.39,1
280,-23.59,-45.44,2
281,-26.92,-48.64,4
282,-6.06,-49.92,3
283,-22.5,-43.0,1
284,-15.6,-47.68,3
285,-2.5,-43.25,30
286,-27.03,-49.38,3
287,-25.43,-49.27,5
288,-23.53,-46.22,1
289,-20.52,-41.91,8
290,-20.35,-46.64,2
291,-23.33,-46.72,4
292,-31.75,-52.35,1
293,-21.84,-43.81,5
294,-8.82,-35.18,2
295,-24.52,-48.11,2
296,-20.01,-44.0,1
297,-19.86,-43.97,2
298,-22.25,-43.7,1
299,-3.08,-60.0,5
300,-3.08,-60.01,11
301,-19.89,-44.0,26
302,-29.27,-50.32,2
303,-20.03,-48.93,2
304,-22.76,-43.45,3
305,-9.65,-35.73,11
306,-29.68,-52.78,22
307,-22.93,-43.18,1
308,-23.07,-43.56,1
309,-6.44,-35.65,3
310,-22.42,-47.58,2
311,-23.33,-46.68,12
312,-19.94,-43.92,9
313,-25.67,-53.81,1
314,-14.14,-47.51,6
315,-14.14,-47.52,2
316,-18.12,-43.34,8
317,-22.92,-46.54,1
318,-22.91,-43.18,2
319,-3.93,-41.71,5
