,lat,long,N
0,-24.1,-47.99,10
1,-15.85,-47.91,12
2,-22.91,-43.18,35
3,-19.35,-43.62,45
4,-22.48,-43.06,75
5,-22.82,-43.32,19
6,-20.43,-41.87,59
7,-22.97,-43.02,7
8,-16.39,-39.04,1
9,-4.84,-37.25,8
10,-22.95,-43.49,34
11,-16.72,-43.87,19
12,-10.55,-46.42,30
13,-15.85,-48.96,6
14,-18.59,-46.51,35
15,-20.2,-40.26,66
16,-23.43,-47.6,16
17,-20.05,-43.99,3
18,-18.22,-43.61,1
19,-19.9,-43.97,3
20,-23.41,-46.04,7
21,-19.92,-43.94,67
22,-10.78,-37.35,13
23,-22.36,-44.68,1
24,-2.5,-43.25,17
25,-15.46,-55.75,26
26,-22.43,-44.61,3
27,-7.01,-47.15,4
28,-23.7,-46.55,4
29,-22.96,-44.67,9
30,-22.5,-43.15,19
31,-25.55,-54.58,50
32,-20.41,-41.02,42
33,-22.48,-44.57,2
34,-29.31,-50.85,39
35,-7.21,-39.31,1
36,-19.79,-43.95,1
37,-22.59,-43.42,41
38,-16.72,-49.27,1
39,-22.96,-43.27,84
40,-16.7,-49.24,6
41,-22.41,-47.55,6
42,-25.25,-50.01,39
43,-23.97,-46.35,22
44,-2.5,-44.27,18
45,-19.78,-43.95,1
46,-24.06,-47.99,2
47,-23.22,-44.73,2
48,-15.18,-55.75,1
49,-28.3,-53.5,1
50,-8.74,-35.17,1
51,-20.33,-46.37,4
52,-23.5,-46.87,44
53,-51.73,-72.5,19
54,-22.99,-43.23,30
55,-25.61,-54.48,77
56,-29.92,-51.17,34
57,-27.24,-53.85,1
58,-23.46,-46.63,98
59,-22.41,-45.44,43
60,-25.47,-49.38,4
61,-20.65,-40.47,7
62,-15.74,-47.93,30
63,-15.8,-47.9,2
64,-19.71,-42.74,9
65,-9.39,-40.5,10
66,-50.28,-72.05,1
67,-20.6,-40.43,25
68,-2.8,-40.52,15
69,-23.55,-46.64,2
70,-21.72,-43.93,3
71,-29.2,-49.96,6
72,-20.25,-46.5,13
73,-19.92,-43.93,182
74,-22.87,-43.78,21
75,-22.97,-43.21,3
76,-25.68,-53.8,5
77,-13.41,-41.28,2
78,-9.53,-77.53,2
79,-12.62,-41.49,4
80,31.31,35.36,1
81,-49.32,-72.89,1
82,-25.45,-54.59,1
83,41.73,-8.16,92
84,-9.62,-35.75,44
85,-22.9,-43.19,163
86,-22.33,-44.54,1
87,-22.43,-42.96,30
88,53.01,-4.1,2
89,-14.18,-47.82,159
90,-24.59,-48.59,2
91,-23.76,-46.67,1
92,-22.55,-43.06,1
93,-22.78,-43.46,18
94,-21.72,-43.92,66
95,-22.45,-42.99,7
96,51.49,-3.19,1
97,-12.58,-38.01,13
98,42.73,17.86,3
99,-22.52,-52.16,75
100,-27.13,-48.52,2
101,-22.95,-43.3,1
102,-22.43,-44.62,55
103,-21.65,-41.75,4
104,-20.05,-44.0,35
105,-22.3,-42.54,2
106,-25.68,-54.44,9
107,-22.76,-44.3,1
108,-25.6,-54.57,3
109,-15.79,-48.06,25
110,-8.58,-36.83,2
111,-23.04,-46.98,18
112,-26.49,-49.05,8
113,-12.15,-77.02,4
114,-22.97,-47.0,1
115,-3.76,-38.49,10
116,-2.52,-44.24,1
117,-6.09,-35.19,4
118,-19.06,-40.15,3
119,-19.75,-43.95,1
120,-23.96,-48.02,2
121,-22.74,-43.71,3
122,-26.98,-48.65,1
123,-24.04,-52.39,1
124,40.43,-3.67,1
125,-22.51,-42.28,1
126,-33.77,-70.07,1
127,-3.85,-32.42,7
128,-22.97,-43.24,18
129,-22.91,-43.58,7
130,-22.45,-44.61,1
131,-8.67,-42.55,21
132,-33.95,18.4,1
133,-22.9,-43.45,1
134,-22.5,-44.56,37
135,-22.39,-44.54,1
136,-18.16,-53.41,1
137,-27.47,-48.49,5
138,-27.63,-48.67,1
139,-27.41,-49.76,2
140,-23.85,-46.47,3
141,-21.79,-46.59,9
142,-27.17,-51.51,2
143,-29.66,-53.81,12
144,-6.45,-35.67,9
145,-6.07,-49.9,2
146,-8.83,-42.54,2
147,-27.53,-48.43,10
148,-28.57,-50.62,1
149,-8.01,-34.95,2
150,-21.98,-44.6,9
151,-5.58,-36.95,5
152,-16.55,-49.16,3
153,-29.6,-52.2,1
154,9.39,-84.15,2
155,-25.32,-49.29,5
156,-15.12,-44.32,3
157,-23.46,-46.76,23
158,-2.73,-42.83,22
159,-25.39,-54.64,1
160,-6.06,-49.92,5
161,-8.62,-37.15,32
162,-15.18,-44.22,2
163,-2.41,-54.72,3
164,-3.08,-60.01,2
165,-15.02,-44.05,2
166,-20.07,-43.98,1
167,-22.42,-43.25,2
168,-22.84,-43.5,4
169,-24.56,-48.67,40
170,36.97,-7.87,2
171,38.75,-9.1,4
172,-24.79,-50.01,2
173,-24.58,-50.25,5
174,-49.33,-72.89,4
175,-25.52,-54.56,3
176,-25.57,-54.56,14
177,-22.95,-43.38,5
178,-27.21,-49.65,7
179,-15.37,-47.45,6
180,-23.83,-45.39,1
181,-23.9,-46.47,8
182,-20.43,-41.96,18
183,-15.74,-47.92,6
184,-3.02,-59.94,3
185,-18.57,-53.13,16
186,-23.89,-46.42,3
187,-22.44,-42.98,1
188,-22.76,-47.27,1
189,-21.84,-43.8,2
190,-12.65,-38.97,1
191,-14.07,-47.66,11
192,-16.87,-43.01,1
193,-11.54,-41.76,4
194,-28.46,-52.19,5
195,-22.29,-42.53,1
196,-28.13,-49.48,7
197,-19.65,-42.63,5
198,4.82,-75.7,1
199,-22.37,-44.63,1
200,-15.56,-48.11,5
201,-23.98,-46.39,8
202,17.51,-91.98,1
203,-20.63,-42.4,3
204,-21.72,-44.98,4
205,-30.35,-51.03,5
206,-25.51,-49.2,5
207,-24.27,-48.41,3
208,-5.19,-37.34,27
209,-22.96,-44.04,1
210,-27.23,-53.85,3
211,-10.4,-46.58,2
212,-28.14,-54.75,6
213,-22.46,-43.41,3
214,-29.64,-51.02,7
215,-2.49,-44.27,2
216,-19.97,-43.99,18
217,9.41,-84.15,1
218,51.26,-0.9,1
219,-8.06,-34.93,1
220,-20.45,-54.57,1
221,-20.38,-43.49,14
222,-29.39,-50.38,6
223,-18.12,-43.34,6
224,-22.98,-47.0,6
225,-4.15,-38.11,21
226,-8.78,-42.62,5
227,-15.8,-47.86,2
228,-23.19,-44.98,1
229,-9.75,13.58,3
230,-22.21,-45.95,2
231,-23.4,-46.59,2
232,-10.18,-48.34,1
233,-29.66,-50.57,1
234,-22.6,-52.18,4
235,-19.33,-43.63,4
236,-18.46,-43.31,5
237,-2.75,-42.83,26
238,-21.84,-43.81,5
239,-22.36,-47.38,2
240,-20.67,-41.01,1
241,-19.56,-43.94,3
242,-4.16,-38.11,5
243,-22.39,-41.83,1
244,-54.78,-68.26,2
245,-9.14,-77.71,1
246,-33.97,-53.55,2
247,-29.05,-50.14,5
248,-2.5,-44.26,1
249,-5.82,-35.19,4
250,-23.0,-43.37,2
251,-22.68,-42.98,5
252,-22.46,-44.6,1
253,-22.96,-43.21,4
254,-28.2,-49.9,3
255,-22.97,-43.18,1
256,-1.83,-44.87,2
257,-11.0,-53.0,2
258,-22.91,-43.2,7
259,-22.21,-49.95,1
260,-3.77,-38.57,1
261,-22.42,-44.26,1
262,-29.91,-51.17,8
263,4.62,-74.07,3
264,-22.89,-43.35,5
265,-15.27,-47.16,1
266,-22.76,-45.12,1
267,-21.71,-43.87,1
268,-22.37,-42.99,2
269,-2.45,-44.79,2
270,-29.95,-51.09,2
271,-23.8,-46.08,2
272,-25.14,-50.16,1
273,-23.0,-43.28,3
274,-16.8,-39.15,1
275,19.75,-70.83,1
276,-25.47,-48.84,1
277,-28.29,-53.49,1
278,-20.32,-40.34,7
279,41.89,-8.42,1
280,-22.87,-43.09,2
281,-19.96,-43.94,1
282,-23.59,-46.51,1
283,-3.74,-38.48,2
284,-22.97,-43.44,1
285,-25.14,-47.96,1
286,-23.34,-46.73,15
287,-28.29,-53.51,4
288,-24.58,-50.27,1
289,-22.52,-42.98,2
290,-22.25,-47.83,3
291,-29.03,-50.15,4
292,-22.45,-42.95,11
293,-27.73,-48.51,8
294,9.75,-84.63,1
295,-2.43,-44.76,1
296,-1.43,-48.42,1
297,-18.87,-41.93,1
298,38.75,-9.2,1
299,-22.84,-43.55,3
300,-29.46,-51.2,1
301,-22.47,-43.05,1
302,38.9,-9.18,1
303,-29.85,-51.14,4
304,-23.5,-46.75,1
305,-39.55,-71.99,1
306,-14.13,-47.51,1
307,-2.9,-40.45,5
308,-22.71,-44.63,4
309,40.38,-8.37,1
310,-23.45,-46.6,1
311,-19.8,-43.96,3
312,-20.38,-41.03,3
313,-22.53,-41.95,1
314,-25.57,-54.58,1
315,-23.53,-46.69,2
316,-22.78,-43.48,6
317,28.32,-16.49,1
318,-23.82,-45.37,5
319,-29.08,-49.99,1
320,-2.66,-42.86,19
321,-22.91,-43.69,55
322,-21.74,-43.41,1
323,-23.46,-46.64,2
324,-29.2,-49.95,4
325,-20.41,-43.51,4
326,-22.97,-43.03,4
327,-23.52,-46.71,4
328,-3.1,-60.02,3
329,10.63,-63.19,1
330,-16.73,-43.87,5
331,-18.24,-43.61,1
332,-17.33,-56.8,1
333,-22.89,-43.23,1
334,-29.38,-50.87,2
335,-34.0,-53.55,1
336,-25.1,-50.17,1
337,53.35,-6.26,1
338,11.24,-74.21,2
339,-2.95,-60.67,1
340,-26.43,-54.14,1
341,-22.45,-44.08,1
342,-22.96,-43.19,8
343,-51.05,-72.83,1
344,41.69,-8.17,1
345,-21.73,-47.59,1
346,-10.57,-46.51,1
347,-26.75,-49.18,6
348,-22.82,-43.43,1
349,-23.52,-46.53,1
350,-22.97,-43.2,19
351,-23.44,-46.64,1
352,-23.12,-46.54,1
353,-22.49,-44.57,1
354,-23.58,-46.75,3
355,-6.8,-35.08,1
356,-23.33,-46.71,4
357,-22.37,-44.72,1
358,-22.64,-43.43,37
359,-21.98,-42.25,1
360,-22.86,-48.44,1
361,-14.14,-47.52,2
362,-19.01,-43.44,1
363,-12.97,-38.48,1
364,-3.04,-60.0,1
