,lat,long,N
0,-4.15,-38.11,17
1,-25.61,-54.48,237
2,-25.68,-54.45,1
3,-15.41,-55.83,33
4,-22.69,-43.26,1
5,-22.96,-43.27,86
6,-25.69,-54.44,32
7,-22.4,-42.97,1
8,-22.41,-42.97,3
9,-25.49,-54.57,1
10,-15.74,-47.92,54
11,-22.45,-42.98,58
12,-22.48,-44.58,1
13,-15.36,-55.89,1
14,-32.58,-52.56,1
15,-7.21,-39.44,8
16,-2.66,-42.86,2
17,-2.66,-42.87,1
18,-25.43,-49.25,1
19,-22.39,-44.96,1
20,-4.16,-38.11,29
21,-22.47,-44.58,9
22,-22.92,-43.23,1
23,-25.54,-54.58,4
24,-29.05,-50.14,9
25,-25.28,-54.09,1
26,-22.5,-41.93,2
27,-25.54,-54.57,3
28,-14.07,-47.66,21
29,-7.92,-34.93,10
30,-22.39,-42.95,2
31,-25.58,-54.55,37
32,-8.67,-42.55,2
33,-25.53,-54.56,13
34,-15.8,-47.88,1
35,-19.35,-43.62,10
36,-7.22,-39.44,11
37,-22.37,-44.63,2
38,-8.07,-34.89,1
39,-25.24,-53.98,5
40,-3.74,-38.51,1
41,-2.76,-42.83,6
42,-2.67,-42.86,6
43,19.1,-98.68,1
44,-22.45,-42.99,8
45,-3.82,-38.48,2
46,-15.74,-47.91,5
47,-15.74,-47.93,1
48,-15.8,-48.06,1
49,-23.55,-46.73,7
50,-15.29,-55.99,1
51,-15.6,-47.61,5
52,-2.74,-42.83,1
53,-27.48,-49.58,3
54,-12.38,-54.94,1
55,2.81,-60.7,1
56,-10.09,-67.75,1
57,-32.93,-71.08,1
58,-4.23,-38.92,3
59,-3.84,-40.9,7
60,-25.44,-49.23,1
61,-22.43,-43.16,7
62,-11.34,-49.27,1
63,-30.03,-51.23,5
64,-15.36,-55.85,2
65,-22.4,-44.67,1
66,-7.99,-34.91,1
67,-5.19,-37.36,1
68,-5.73,-35.27,1
69,-22.46,-44.46,5
70,-23.54,-46.93,2
71,43.51,16.43,1
72,42.26,-8.77,2
73,40.37,-105.51,2
74,-25.68,-54.44,6
75,-23.47,-46.85,6
76,-22.84,-43.01,1
77,-25.9,-48.58,1
78,-41.13,-71.31,1
79,61.19,-149.94,1
80,-25.46,-49.25,1
81,-22.43,-44.62,1
82,-14.18,-47.81,3
83,-6.07,-49.9,1
84,-7.21,-39.45,6
85,-23.43,-46.48,2
86,-22.43,-42.96,1
87,-7.11,-34.83,1
88,-16.73,-43.88,1
89,-22.81,-43.21,1
90,-22.79,-43.31,2
91,-22.81,-43.22,1
92,41.77,-8.58,1
93,-2.8,-40.52,8
94,-25.53,-54.59,2
95,-7.64,-72.67,1
96,-17.56,-52.55,1
97,-6.07,-49.91,2
98,-1.44,-48.49,1
99,-15.7,-47.9,1
100,17.07,-89.4,1
101,-23.65,-46.66,1
102,41.88,-8.31,1
103,-5.11,-36.35,1
104,0.03,-51.07,1
105,-20.77,-41.67,1
106,-20.41,-41.84,1
107,-20.41,-41.83,1
108,-10.25,-48.34,1
109,-3.73,-40.99,1
110,-21.97,-44.93,2
111,19.3,-99.19,2
112,-1.17,-48.47,1
113,-21.76,-43.35,2
114,-19.87,-43.97,1
115,42.64,-0.07,1
116,-25.52,-54.56,1
117,-15.84,-48.04,1
118,-14.16,-47.84,3
119,-22.93,-43.37,1
120,14.58,-88.6,2
121,-15.8,-47.89,1
122,39.85,-6.03,2
123,-9.02,-42.69,1
124,21.16,-86.84,1
125,-2.81,-55.04,2
126,-38.99,-72.63,1
127,-22.46,-44.58,1
128,-18.54,-53.12,2
129,-23.19,-45.89,2
130,-22.98,-43.41,1
131,-9.67,-35.74,1
132,-3.06,-60.02,1
133,23.66,-109.67,1
134,-20.26,-40.43,1
135,-5.19,-37.35,1
136,-15.77,-47.86,1
137,-15.79,-47.93,1
138,-25.39,-49.26,1
139,38.65,-9.24,1
140,-22.96,-43.28,7
141,-15.82,-48.03,1
142,-22.87,-43.18,3
143,-22.97,-43.22,1
144,-8.06,-34.88,4
145,-15.79,-47.83,1
146,38.72,-9.15,2
147,-22.54,-44.07,1
148,-19.88,-43.97,1
149,-22.95,-43.22,4
150,-13.15,-72.53,6
151,-34.26,18.46,1
152,-27.6,-48.53,1
153,-15.8,-47.94,1
154,-20.73,-46.5,1
155,-15.77,-47.89,1
156,-30.21,-51.08,1
157,-22.47,-44.59,1
158,-17.78,-63.18,1
159,-1.46,-48.47,1
160,-12.95,-38.43,1
161,-25.44,-54.6,1
162,-25.58,-54.56,1
163,-19.92,-43.92,1
164,39.84,-6.03,1
165,-22.46,-44.59,2
166,41.19,-8.6,1
167,-27.48,-49.57,3
168,-29.05,-50.13,2
169,17.0,-89.73,1
170,-22.97,-43.25,15
171,-22.97,-43.28,6
172,-25.55,-54.58,1
173,-15.75,-47.89,1
174,-22.97,-43.26,2
175,-14.18,-47.82,2
176,-2.5,-54.96,3
177,-19.59,-43.91,2
178,-2.5,-54.95,1
179,-14.17,-47.82,2
180,-15.83,-48.06,1
181,-22.94,-43.2,1
182,-23.03,-43.2,1
183,-2.8,-40.51,1
184,-29.06,-50.14,1
185,-22.43,-42.98,1
186,-22.46,-44.51,1
187,-15.35,-55.85,1
188,-23.48,-47.48,3
189,-25.58,-54.52,1
190,-22.85,-46.27,1
191,-4.2,-41.78,1
192,-6.39,-38.85,1
193,-32.59,-52.57,1
194,-15.65,-48.19,1
195,-51.23,-72.97,1
196,-32.6,-52.57,1
197,-15.82,-48.06,1
198,-15.37,-55.84,2
199,-7.95,-34.89,3
200,-15.42,-55.73,1
201,-22.25,-41.59,1
202,-5.81,-35.2,1
203,-20.27,-70.1,1
204,-25.58,-54.54,4
205,-25.54,-54.56,1
206,-23.55,-46.68,1
207,-25.66,-54.44,1
208,-25.65,-54.46,1
209,-25.5,-53.8,1
210,-25.41,-49.23,1
211,-15.83,-48.08,1
212,-22.91,-43.21,20
213,-23.55,-46.63,6
214,-10.33,-53.2,134
215,-22.5,-44.56,3
216,-25.43,-49.27,1
217,-1.68,-50.48,1
218,-25.54,-54.59,8
219,-10.18,-48.33,4
220,-20.85,-41.11,1
221,-22.76,-43.45,2
222,-22.88,-43.12,1
223,-23.52,-51.68,1
224,-5.09,-42.81,5
225,-2.9,-40.45,1
226,-6.07,-49.89,2
227,-20.81,-49.38,1
228,-19.99,-43.85,2
229,-10.92,-37.08,2
230,0.04,-51.06,9
231,-23.1,-45.71,1
232,-7.12,-34.88,2
233,-23.43,-51.94,3
234,-1.45,-48.47,7
235,-7.31,-39.3,1
236,38.04,-4.05,1
237,-5.81,-35.21,3
238,-24.01,-46.4,4
239,-22.28,-42.53,1
240,-12.98,-38.48,1
241,-18.92,-54.84,1
242,-16.68,-49.25,2
243,-6.26,-36.52,1
244,4.1,-72.91,1
245,-22.81,-43.41,3
246,-21.76,-41.33,5
247,-29.69,-53.81,1
248,-7.56,-35.0,1
249,-2.88,-41.67,1
250,41.15,-8.61,2
251,-31.76,-71.32,1
252,-14.16,-47.65,1
253,-0.87,-47.95,1
254,-29.69,-51.14,1
255,40.75,-3.6,2
256,-3.73,-38.52,3
257,-19.92,-43.95,3
258,-27.6,-48.55,1
259,-22.53,-41.94,1
260,-19.63,-43.99,1
261,-29.17,-51.52,1
262,-29.17,-51.18,2
263,38.71,-9.14,1
264,-27.82,-50.33,1
265,-2.56,-44.24,2
266,-22.42,-42.98,2
267,16.12,-92.05,1
268,-8.75,-38.96,1
269,-3.13,-59.98,1
270,-9.98,-67.32,1
271,41.85,-8.42,1
272,-27.06,-51.11,1
273,-8.75,-35.1,1
274,-16.33,-48.95,1
