,lat,long,N
0,-22.45,-42.99,48
1,11.22,-74.18,5
2,-25.53,-54.59,124
3,-22.46,-44.59,38
4,-5.12,-42.79,14
5,-14.18,-47.82,6
6,-22.58,-43.4,9
7,-22.65,-44.58,10
8,-2.91,-78.96,1
9,-2.9,-79.01,1
10,-22.96,-43.28,36
11,-2.75,-42.83,55
12,-22.97,-43.25,4
13,-29.05,-50.14,14
14,-22.97,-43.23,7
15,-2.5,-43.25,12
16,-22.92,-43.26,6
17,-9.02,-42.69,7
18,-21.73,-43.92,11
19,-22.96,-43.27,44
20,-25.63,-54.45,24
21,-22.63,-43.26,3
22,-22.51,-43.18,2
23,-22.25,-47.82,2
24,-4.15,-38.11,39
25,-19.51,-43.75,21
26,-7.06,-34.85,8
27,-22.81,-43.43,4
28,9.77,-83.8,1
29,-3.84,-40.9,23
30,-41.59,-72.57,1
31,-22.21,-41.48,1
32,-15.72,-47.91,3
33,-15.79,-48.06,36
34,-15.65,-47.84,3
35,-8.13,-34.9,3
36,-39.15,-71.71,3
37,-22.99,-43.22,12
38,-19.58,-65.76,1
39,-12.46,-41.47,1
40,-14.07,-47.66,6
41,-22.96,-43.24,51
42,-22.98,-43.2,8
43,-8.94,-35.17,1
44,-15.46,-55.75,10
45,-27.48,-49.57,56
46,-25.62,-54.48,5
47,-19.9,-43.93,2
48,-30.09,-51.07,1
49,-25.55,-54.58,3
50,-22.46,-42.04,1
51,-29.36,-49.73,3
52,39.85,-6.03,28
53,-15.74,-47.93,33
54,-28.0,-49.55,1
55,-7.26,-39.47,5
56,-25.68,-54.43,5
57,-24.56,-54.06,1
58,-25.97,-54.58,14
59,-25.6,-54.57,5
60,-22.5,-44.57,3
61,-29.05,-50.15,2
62,-22.44,-42.98,8
63,4.62,-74.07,16
64,-53.16,-70.91,5
65,-7.92,-34.93,45
66,-6.06,-49.92,11
67,-34.0,-53.55,1
68,12.11,-86.29,4
69,-14.18,-47.81,1
70,-23.55,-46.66,1
71,-22.65,-43.53,5
72,8.97,-79.53,3
73,8.98,-79.52,2
74,-5.7,-35.3,1
75,-22.43,-43.25,7
76,-21.07,-41.37,1
77,-3.05,-60.05,17
78,-33.68,25.8,1
79,-19.92,-43.94,1
80,-22.96,-43.23,1
81,-20.15,-46.66,19
82,-15.75,-47.91,3
83,-15.74,-47.92,31
84,-14.14,-47.82,1
85,-0.37,36.08,1
86,-15.78,-47.89,11
87,51.41,-116.22,1
88,-38.43,-71.91,2
89,-19.34,-43.63,1
90,-1.26,36.81,1
91,-25.61,-54.48,119
92,-22.97,-43.02,18
93,-22.48,-44.57,12
94,-15.83,-48.04,1
95,-0.42,36.13,2
96,-6.16,39.19,1
97,-25.59,-54.57,1
98,-33.44,-70.64,2
99,-15.39,-55.99,2
100,6.81,-73.05,1
101,-7.04,-37.29,2
102,-20.34,-46.43,4
103,13.75,100.48,1
104,-20.32,-40.29,1
105,-0.74,-90.31,13
106,-29.19,-49.99,12
107,-15.95,-47.99,6
108,-39.95,-72.77,1
109,-15.79,-48.13,2
110,-15.36,-55.83,4
111,-19.34,-43.64,1
112,-15.5,-44.37,14
113,-23.0,-43.44,1
114,-4.16,-38.11,46
115,-20.35,-46.86,5
116,-25.58,-54.55,17
117,-26.11,-56.96,1
118,-18.2,-43.6,1
119,39.57,-8.59,1
120,-22.89,-43.23,1
121,10.13,-75.69,1
122,-22.92,-43.69,1
123,9.39,-84.15,2
124,6.79,-73.0,1
125,-14.15,-47.81,4
126,-4.22,-38.04,1
127,-0.05,-51.14,3
128,-0.9,-89.61,11
129,-4.29,-41.78,2
130,-10.21,-48.34,1
131,41.17,-8.66,4
132,-18.05,-63.51,1
133,-15.41,-55.83,4
134,-38.72,-72.59,1
135,38.5,-8.93,1
136,10.33,-68.74,1
137,-9.14,-77.74,1
138,-23.6,-46.65,1
139,-19.86,-43.96,2
140,42.03,-8.16,4
141,51.42,-116.22,5
142,-54.8,-68.31,2
143,-2.76,-42.26,2
144,-22.46,-44.61,5
145,-25.68,-54.44,2
146,-20.66,-41.91,1
147,-25.67,-54.45,1
148,-22.37,-44.72,1
149,-22.42,-44.54,1
150,-14.14,-47.52,7
151,-14.13,-47.71,1
152,-20.45,-41.88,4
153,-29.96,-51.11,7
154,-11.01,-68.75,2
155,-5.89,-35.21,1
156,-25.24,-53.98,2
157,-5.81,-35.18,2
158,-25.62,-54.44,1
159,-22.64,-43.26,6
160,15.54,-88.26,1
161,-22.44,-44.53,37
162,9.93,-84.08,4
163,-20.05,-40.2,5
164,10.52,-66.86,2
165,-7.16,-34.87,1
166,-22.73,-45.09,1
167,-15.79,-48.84,1
168,9.96,-84.13,1
169,-15.45,-55.75,3
170,39.81,-7.51,1
171,14.87,-87.91,11
172,-22.45,-42.98,65
173,-7.16,-34.83,1
174,8.54,-83.31,3
175,-22.41,-42.97,2
176,-23.43,-47.6,14
177,-20.44,-41.87,2
178,-22.4,-44.97,2
179,-22.92,-43.18,16
180,-5.59,-36.95,1
181,-25.27,-57.5,6
182,-18.05,-53.05,1
183,10.61,-66.85,1
184,-23.04,-43.2,4
185,-19.08,-40.13,3
186,19.0,-70.45,1
187,-7.23,-39.41,9
188,4.72,-74.13,1
189,-19.91,-43.92,1
190,-7.99,-34.91,6
191,-33.97,18.43,1
192,-2.67,-42.85,3
193,-22.97,-43.33,17
194,4.54,-75.77,3
195,-22.82,-43.42,1
196,-23.51,-46.62,3
197,-17.56,-52.53,11
198,25.76,-80.58,1
199,-22.92,-43.21,5
200,-3.22,-55.16,1
201,-23.54,-46.73,14
202,-22.85,-45.23,1
203,-22.47,-44.45,2
204,-15.71,-47.91,1
205,-5.09,-42.79,1
206,42.22,-8.9,1
207,41.71,-8.17,3
208,-53.14,-70.92,1
209,-20.76,-41.53,1
210,-15.14,-43.79,1
211,-15.48,-55.76,1
212,-42.62,-74.11,2
213,39.15,2.93,1
214,-5.37,-49.12,2
215,-17.57,-52.56,3
216,-22.93,-43.23,2
217,-1.42,-48.46,3
218,-13.83,-76.25,1
219,-22.45,-43.0,2
220,-22.31,-44.85,1
221,-25.1,-50.16,3
222,-22.72,-43.41,1
223,-22.81,-43.42,1
224,-22.96,-44.04,1
225,17.48,-92.05,2
226,-20.32,-40.33,1
227,-22.87,-43.47,1
228,4.63,-74.07,1
229,-2.49,-44.29,16
230,-22.9,-43.26,4
231,-22.96,-43.2,15
232,-12.12,-76.99,1
233,-22.86,-46.03,1
234,-1.4,-48.44,1
235,-22.99,-43.48,1
236,17.8,-92.7,1
237,-22.59,-43.41,1
238,51.42,-116.21,2
239,-20.29,-40.32,1
240,-27.66,-48.51,1
241,-3.72,-40.99,1
242,-15.47,-55.74,1
243,-23.52,-46.63,1
244,-5.06,-42.82,1
245,-8.07,-34.88,3
246,-29.62,-52.19,1
247,10.16,-84.23,4
248,-3.06,-60.06,1
249,-25.69,-54.43,1
250,-23.65,-46.61,2
251,-25.61,-54.56,5
252,-25.19,-49.63,2
253,-22.93,-43.18,6
254,-3.03,-59.96,1
255,28.96,-13.55,1
256,-19.87,-42.13,1
257,-5.58,-36.93,1
258,-25.57,-54.56,3
259,17.12,-89.68,1
260,-28.49,-48.78,1
261,-14.14,-47.51,14
262,-26.92,-48.64,10
263,-20.42,-54.56,1
264,-6.07,-49.9,4
265,-54.81,-68.32,3
266,-22.46,-43.09,22
267,-14.53,-48.51,2
268,-8.67,-42.55,1
269,-4.04,-40.87,2
270,-22.98,-43.29,3
271,13.48,-89.27,1
272,38.79,-9.39,1
273,-6.0,-60.19,1
274,-22.64,-44.58,1
275,19.12,-70.64,1
276,11.24,-74.19,22
277,-28.97,-50.06,2
278,-26.91,-48.65,1
279,-20.25,-42.15,2
280,-23.67,-46.45,1
281,-15.9,-48.08,2
282,-15.85,-47.91,4
283,11.29,-74.17,1
284,-4.84,-37.25,10
285,-22.96,-43.22,43
286,-23.19,-44.32,1
287,-23.64,-46.73,7
288,-15.81,-47.86,1
289,-3.93,-41.71,2
290,-23.53,-46.53,1
291,11.31,-73.93,2
292,-22.65,-56.02,1
293,-4.84,-42.17,2
294,-3.8,-40.26,1
295,-54.81,-68.35,2
296,-54.83,-68.42,1
297,-51.73,-72.5,2
298,-22.69,-43.06,1
299,-15.8,-48.06,2
300,-4.1,-41.71,1
301,-29.19,-51.2,7
302,-19.48,-42.55,1
303,-22.43,-44.62,1
304,-5.75,-35.22,3
305,-19.47,-42.53,1
306,-22.86,-43.27,3
307,-13.52,-71.98,1
308,-22.91,-43.69,3
309,-14.17,-47.82,1
310,-16.61,-49.26,1
311,52.91,-118.04,1
312,-15.8,-48.08,1
313,-19.58,-42.79,1
314,-22.96,-43.26,1
315,-4.7,-55.99,1
316,-22.96,-43.21,1
317,-29.18,-49.99,3
318,10.42,-84.12,1
319,-19.1,-48.37,3
320,-7.33,-47.47,1
321,-29.66,-50.76,3
322,-9.0,-42.69,4
323,41.76,-8.19,1
324,-3.73,-38.5,2
325,-10.77,-37.34,1
326,-15.56,-48.11,1
327,-33.98,-53.54,1
328,8.64,-70.21,1
329,-7.02,-47.04,1
330,-19.35,-43.62,3
331,-15.83,-48.1,4
332,-13.76,-41.04,1
333,-19.18,-48.39,1
334,-3.85,-32.41,1
335,-23.55,-46.95,1
336,26.14,-81.79,1
337,-12.73,-39.18,1
338,-20.71,-46.6,1
339,-37.96,-73.25,1
340,-20.26,-40.26,1
341,-23.58,-46.69,1
342,-7.53,-46.05,1
343,-12.56,-41.39,3
344,-3.84,-40.97,1
345,52.06,-9.51,1
346,10.54,-83.5,1
347,-22.43,-42.97,3
348,-24.35,-47.0,2
349,11.24,-74.13,1
350,-2.74,-42.83,1
351,-2.53,-43.12,2
352,-33.45,-70.66,2
353,-23.51,-46.66,2
354,-25.57,-49.34,1
355,6.01,-73.67,5
356,-22.8,-43.42,2
357,-22.11,-45.06,4
358,-22.82,-43.41,1
359,-19.87,-43.97,3
360,-20.1,-43.99,7
