,lat,long,N
0,-17.77,-44.15,1
1,-8.28,-35.94,19
2,-15.33,-44.24,2
3,-22.46,-42.99,1
4,-22.3,-41.7,11
5,-4.16,-38.11,50
6,-19.92,-43.93,220
7,-22.45,-42.99,61
8,-20.65,-40.48,32
9,-4.84,-37.25,7
10,-22.5,-43.17,2
11,-14.18,-47.82,13
12,-22.96,-43.27,139
13,-25.61,-54.48,52
14,-10.33,-53.2,92
15,-23.17,-45.89,26
16,-21.21,-50.44,1
17,-12.58,-38.01,13
18,-23.46,-46.63,183
19,-22.87,-43.78,255
20,-25.69,-54.43,6
21,-22.41,-45.44,19
22,-24.31,-47.0,28
23,-22.47,-43.83,1
24,-20.82,-49.51,1
25,-15.46,-55.75,8
26,-25.55,-54.59,19
27,-24.93,-48.28,1
28,-22.35,-44.65,19
29,-29.91,-51.17,70
30,-21.72,-47.6,8
31,-2.8,-42.85,1
32,-23.45,-46.42,6
33,-20.51,-46.64,1
34,-19.92,-43.94,62
35,-23.07,-44.96,3
36,-22.95,-43.17,3
37,-29.03,-50.15,14
38,-25.54,-54.59,15
39,-22.65,-44.58,7
40,-23.35,-44.72,3
41,-29.31,-50.85,88
42,-15.74,-47.92,18
43,-18.59,-46.51,31
44,-2.75,-42.83,35
45,-2.75,-42.82,2
46,-24.55,-48.68,10
47,-15.79,-48.06,41
48,-23.5,-46.87,64
49,-15.79,-47.85,5
50,-3.77,-40.9,2
51,-21.71,-43.9,81
52,-24.65,-48.42,1
53,-3.1,-60.03,69
54,-25.57,-54.56,4
55,-16.7,-49.24,129
56,-29.93,-51.15,3
57,-27.73,-48.51,40
58,-19.97,-44.2,3
59,-22.97,-43.02,18
60,-9.38,-38.0,1
61,-4.48,-38.9,10
62,-19.79,-43.95,4
63,-13.66,-46.32,1
64,-22.92,-43.27,10
65,-23.32,-44.91,2
66,-15.58,-56.1,36
67,-23.46,-46.64,73
68,-27.32,-48.56,1
69,-4.27,-41.78,1
70,-29.45,-51.31,32
71,-19.71,-42.74,15
72,-21.95,-42.01,5
73,-22.99,-43.23,11
74,-23.88,-47.99,1
75,-22.91,-43.21,84
76,-27.84,-54.48,5
77,-20.43,-41.96,4
78,-17.08,-42.7,3
79,-23.69,-46.56,2
80,-22.94,-43.25,8
81,-19.92,-43.95,100
82,-25.43,-49.27,21
83,-19.91,-44.08,10
84,-15.87,-52.28,6
85,-14.86,-40.84,2
86,-2.56,-44.24,10
87,-25.25,-50.0,1
