,0
1079776487044198400,"[-43.2093727, -22.9110137]"
1079409788738592768,"[-43.1785356, -22.5075743]"
1079199413891973121,"[-48.048326, -23.588607]"
1078970958709473280,"[-43.9450948, -19.9227318]"
1078659083354411014,"[-46.6333824, -23.5506507]"
1078429023619956737,"[-63.8735438, -8.7494525]"
1077981921685188609,"[-53.2, -10.3333333]"
1077890391783948290,"[-58.4370894, -34.6075682]"
1077701945127772161,"[-43.934347, -19.9230171]"
1077274415413542912,"[-49.2712724, -25.4295963]"
1076850754344964096,"[-53.2, -10.3333333]"
1076550814762758145,"[-44.4463494, -22.4683626]"
1076458547599294464,"[-43.9450948, -19.9227318]"
1076170650635722752,"[-53.2, -10.3333333]"
1061905443654692864,"[-53.2, -10.3333333]"
1061728303772516354,"[-43.1154552, -22.8832371]"
1061490341084389376,"[-43.2093727, -22.9110137]"
1061313390377885697,"[-51.29346915, -29.4573112]"
1061239111418368000,"[-47.891154, -22.0180395]"
1061232831798693888,"[2.3514616, 48.8566969]"
1061074513012629504,"[-40.4968875, -9.3817334]"
1060250604898041856,"[-54.5858139, -25.5401479]"
1059951409452539905,"[-43.9450948, -19.9227318]"
1059811300937789441,"[-49.2712724, -25.4295963]"
1059789192492912641,"[-67.8220778, -9.9765362]"
1059628078127820801,"[-47.687611, -23.3508977]"
1059498305309368320,"[-40.3376682, -20.3200917]"
1059393606883164161,"[-44.0840953, -19.9132749]"
1059385493060751362,"[-53.2, -10.3333333]"
1059368296796114944,"[-53.2, -10.3333333]"
1058467408510418949,"[-48.38557934081442, -25.235415]"
1058371796049821696,"[-43.9450948, -19.9227318]"
1057780737125089280,"[-45.083415, -23.433162]"
1057630719512465409,"[-53.2, -10.3333333]"
1057611152652492802,"[-53.2, -10.3333333]"
1057562802783698944,"[-38.5217989, -3.7304512]"
1057369708171689984,"[-51.0569588, 0.0401529]"
1057369686281777153,"[-38.3127691, -12.89242]"
1057304313511505920,"[-53.2, -10.3333333]"
1056356649861025794,"[-43.8505291, -19.7702097]"
1056265220014948360,"[-47.298892, -23.2638828]"
1056190698612027393,"[-49.2712724, -25.4295963]"
1055645806760484864,"[-46.884506, -23.1887668]"
1055616221691985922,"[-45.083415, -23.433162]"
1055443661595570176,"[-43.2093727, -22.9110137]"
1055443362667470848,"[-43.2093727, -22.9110137]"
1055427873979490304,"[-49.2532691, -16.680882]"
1055159435612565507,"[-46.6333824, -23.5506507]"
1055108041841037312,"[-48.5496098, -27.5973002]"
1054764504079351808,"[-43.2093727, -22.9110137]"
1054671389356113920,"[-66.1109318, 8.0018709]"
1054517124759281664,"[-53.2, -10.3333333]"
1054437078518378503,"[-53.2, -10.3333333]"
1054425897929981952,"[-54.5858139, -25.5401479]"
1054342079466356737,"[-47.9764907, -16.0686394]"
1054166605133950981,"[-43.8505291, -19.7702097]"
1054135933086392321,"[-38.387504, -3.9063117]"
1054133914829238273,"[-44.0840953, -19.9132749]"
1054069595215159297,"[-43.9450948, -19.9227318]"
1054045532111364096,"[-43.934347, -19.9230171]"
1053639725096017920,"[-38.4812772, -12.9822499]"
