,lat,long,N
0,-2.73,-42.83,2
1,41.69,-8.2,1
2,-4.84,-37.25,4
3,-22.97,-43.24,11
4,38.62,-109.62,1
5,-22.5,-43.15,3
6,-14.18,-47.82,112
7,-22.4,-44.63,27
8,-2.75,-42.83,155
9,-22.96,-44.67,5
10,-4.15,-38.11,16
11,-15.74,-47.92,8
12,-25.42,-48.22,4
13,-8.62,-37.17,2
14,-22.91,-43.2,4
15,-22.87,-43.31,7
16,-25.61,-54.48,36
17,-51.73,-72.5,7
18,-6.06,-49.92,5
19,-22.96,-43.27,87
20,-8.67,-42.55,6
21,-22.95,-43.29,1
22,-22.35,-44.65,17
23,-9.18,13.37,1
24,-22.37,-44.72,4
25,-20.43,-41.96,8
26,-25.11,-50.16,1
27,-25.57,-54.56,6
28,-2.8,-40.52,7
29,-22.5,-44.56,33
30,-8.75,-35.1,1
31,-2.42,-54.73,5
32,-15.74,-47.93,11
33,-22.59,-43.42,11
34,-22.48,-43.06,16
35,-15.85,-47.91,3
36,-10.55,-46.42,6
37,-22.91,-43.69,36
38,41.73,-8.16,20
39,-15.46,-55.75,13
40,-22.47,-43.0,1
41,-15.79,-47.85,7
42,-13.8,-47.46,1
43,-22.97,-43.02,8
44,-19.94,-43.48,2
45,-20.09,-43.8,3
46,1.65,-77.58,1
47,-19.35,-43.62,12
48,-25.5,-54.54,1
49,-12.51,-41.57,6
50,-25.19,-53.81,10
51,4.54,-75.77,1
52,6.57,-75.58,1
53,-1.43,29.57,1
54,-7.97,-34.84,2
55,41.71,-8.17,2
56,44.88,15.62,1
57,-22.24,-45.71,10
58,-16.39,-39.17,1
59,-22.8,-43.2,2
60,-49.27,-73.04,1
61,-2.9,-42.99,60
62,-29.42,-50.35,4
63,-24.32,-47.0,2
64,38.75,-9.1,1
65,27.97,-15.61,2
66,-24.31,-47.0,8
67,-7.22,-46.45,1
68,-25.55,-54.59,45
69,-20.44,-41.8,27
70,-22.69,-45.74,1
71,-8.59,-37.25,1
72,-20.53,-41.67,1
73,10.63,-63.19,2
74,-25.55,-54.58,2
75,-45.47,-72.82,1
76,-7.21,-39.45,4
77,-7.25,-39.5,2
78,29.25,-81.64,1
79,42.87,-8.55,1
80,51.18,-115.57,1
81,-1.69,-50.48,1
82,-2.53,-43.12,4
83,52.86,-117.76,1
84,-9.52,-77.53,3
85,-22.46,-44.59,1
86,-9.45,-77.43,2
87,-9.53,-77.53,4
88,-9.92,-77.18,1
89,-15.79,-48.06,24
90,-9.91,-77.18,2
91,-20.43,-41.86,3
92,-8.99,-77.67,1
