,lat,long,N
0,-15.33,-44.24,2
1,-22.46,-42.99,1
2,-4.16,-38.11,46
3,-22.45,-42.99,54
4,-4.84,-37.25,7
5,-14.18,-47.82,12
6,-22.96,-43.27,130
7,-25.61,-54.48,47
8,-25.69,-54.43,6
9,-24.31,-47.0,24
10,-15.46,-55.75,6
11,-25.55,-54.59,15
12,-22.35,-44.65,17
13,10.35,-64.33,1
14,-23.45,-46.42,5
15,-20.51,-46.64,1
16,-22.95,-43.17,2
17,-29.03,-50.15,8
18,-22.65,-44.58,6
19,-15.74,-47.92,15
20,-2.75,-42.83,32
21,-15.79,-47.85,5
22,-3.77,-40.9,2
23,-25.57,-54.56,3
24,-9.38,-38.0,1
25,-13.66,-46.32,1
26,-4.27,-41.78,1
27,-20.43,-41.96,2
28,-17.08,-42.7,3
29,-22.94,-43.25,8
30,41.72,-8.15,17
31,24.06,-109.83,1
32,-2.62,-60.93,1
33,-29.32,-50.82,1
34,-20.52,-41.91,34
35,-22.95,-43.35,2
36,-27.0,-49.43,19
37,-29.16,-50.1,7
38,-22.44,-43.13,2
39,64.02,-16.98,1
40,-14.14,-47.52,3
41,-20.62,-41.68,1
42,-3.13,-60.03,4
43,-22.5,-44.56,31
44,-14.13,-47.69,10
45,-25.62,-54.48,3
46,-22.64,-43.25,78
47,-15.79,-48.06,39
48,-22.4,-44.63,10
49,-22.64,-43.43,4
50,-28.97,-50.06,1
51,43.8,15.97,1
52,38.65,-9.24,1
53,-2.57,-42.74,11
54,-7.92,-34.93,103
55,-22.94,-43.29,139
56,44.88,15.62,1
57,-22.51,-43.18,7
58,-22.96,-44.67,5
59,-25.55,-54.58,72
60,-2.73,-42.83,27
61,-22.97,-43.23,4
62,-22.97,-43.27,20
63,-22.41,-42.97,7
64,-19.34,-43.63,1
65,-14.17,-47.82,9
66,-22.4,-42.96,1
67,-25.71,-54.25,1
68,-22.97,-43.02,13
69,-22.48,-43.06,24
70,-9.22,-43.49,1
71,-22.9,-43.11,2
72,-6.06,-49.92,8
73,-22.45,-42.98,11
74,-4.27,-41.76,1
75,-22.53,-42.98,2
76,-25.08,-50.15,1
77,-2.75,-42.82,1
78,27.52,-107.83,1
79,-7.01,-47.15,2
80,-39.87,-71.92,1
81,13.48,-89.27,3
82,-23.43,-47.6,14
83,-22.59,-43.41,39
84,-14.36,-40.21,1
85,-15.13,-44.23,1
86,-2.8,-40.5,2
87,-22.87,-43.31,9
88,-22.3,-41.7,10
89,-5.75,-35.22,18
90,17.79,-71.5,1
91,-22.98,-43.29,1
92,-28.71,153.62,1
93,51.31,-116.97,1
94,-23.6,-46.92,1
95,-17.52,-39.19,3
96,-7.06,-34.85,6
97,4.42,-61.14,1
98,-25.4,-51.46,1
99,-15.74,-47.93,9
100,-27.09,-52.6,2
101,-29.2,-49.95,7
102,34.13,-116.04,1
103,-23.01,-43.58,1
104,-29.17,-50.1,3
105,-14.13,-47.52,22
106,-50.31,-72.79,1
107,-8.62,-37.15,3
108,-29.05,-50.14,9
109,-20.35,-46.64,1
110,-29.13,-49.99,1
111,-12.0,-54.0,6
112,-9.07,-68.66,1
113,42.64,-0.11,1
114,-12.62,-41.49,1
115,9.3,-82.14,1
116,-18.08,-52.92,1
117,-23.05,-43.55,1
118,-25.35,-57.41,2
119,-20.53,-43.7,1
120,-22.9,-43.23,1
121,-25.55,-54.57,1
122,-23.6,-46.66,1
123,41.88,-8.26,2
124,38.75,-9.1,3
