,0
947617828110327808,Parque Nacional do pico da neblina
947588183579152384,Parque Nacional alberto de agostini https
947585656955527170,Parque estadual do caracol https 
947581308859027456,Parque estadual do jalapão  
947578178389905409,Parque Nacional dos lagos plitvice 
947577762553921536,"Parque estadual da serra do cabral
"
947577142094811142,Parque municipal das rendeiras https 
947575277604999168,Parque Nacional cavernas do peruaçú 
947565569167020033,Parque Nacional da restinga de jurubatiba
947557984938463233,Estação ecológica do taim  
947554219720134656,Parque Nacional da serra da bocaina
947553849493151744,Área de proteção ambiental https   t
947553551525597184,Parque Nacional das sete cidades 
947550889878933509,Parque Nacional da serra dos orgãos
947540016057798657,Parque Nacional balaton felvidéki  https
947538284309250049,Parque municipal https   t
947530853378416641,Parque Nacional da restinga de jurubatiba
947508306670686208,Parque estadual do rio doce 
947498351230095362,Monumento natural das falésias https 
947495693605679104,Parque municipal américo renné giannetti https
947491286990258176,Monumento natural souto da retorta en
947490550730645504,Parque Nacional da serra dos órgãos
947477974173061121,Parque natural municipal morro da  https
947477798364512256,Parque natural municipal morro da  https
947471894726479872,Parque Nacional da imaginação  https
947468887377006592,Parque Nacional do caparaó https 
947459069043978240,Parque Nacional do iguaçu 
947455334565769217,Parque Nacional serra da canastra poderá
947454820738371584,Parque Nacional serra da canastra poderá
947450255326502912,Parque natural municipal de petrópolis in petrópolis
947447551401381888,Parque municipal nilton prates https 
947441818429399042,Parque Nacional da chapada dos veadeiros
947440496900820993,Parque Nacional da tijuca  
947439978476433408,Parque Nacional da tijuca  
947423345833926656,Monumento natural    https
947407742070874112,Parque estadual do cantão tem aumento
947407014405304321,Unidade de conservação do cerrado e é
947403361011273728,Parque Nacional del iguazú  brasil
947346593187057665,Parque Nacional de pacaás novos 
947343008122523649,Parque Nacional da serra do divisor
947334187375149056,Parque Nacional de morelia 
947318670522535936,Parque Nacional de itatiaia 
947296065295978496,Parque municipal roberto burle marx 
947295488843403265,Parque Nacional dos lagos plitvice 
947281580283891713,Reserva biológica
947275024481832961,Parque municipal salto do sucuriú 
947260029064896512,Parque municipal da praia do forte
947259535676334080,Parque Nacional dos lençois maranhenses e
947251703937683456,Estação ecológica juréria itatins na cidade
947243225789714433,Parque estadual cantareira https  
947240827289468928,Parque Nacional montanhas do tumucumaque 
947234994396844032,Parque municipal de itaguaí in itaguaí
947228483092209664,Parque Nacional do iguazú na 
947228416507486208,Parque municipal de itajubá https 
947227808727818246,Estação ecológica da juréia itatins 
947225803150036994,Parque estadual da lagoa do açu
947224308325154816,Parque estadual turístico do alto ribeira
947224127592640512,Parque estadual turístico do alto ribeira
947206976877993984,"Parque municipal da cidade 

é "
947203696600997893,Parque municipal 
947169768087355392,Parque estadual de serra nova 
947167803278331904,Parque estadual do cantão em tocantins
947151839132372992,Parque municipal
947142026247720960,Parque Nacional 
947141030217945088,Parque Nacional do iguaçu 
947135199720235009,Parque Nacional    https
947125153653252097,Parque Nacional coiba  panamá 
947115467424092166,Parque Nacional de manu no dia
947115374126026753,Parque municipal da grota de mirassol
947113643405205504,Parque Nacional da chapada dos guimarães
947108274528190464,Parque Nacional do iguaçu  
947102054283141120,Parque estadual de ibitipoca  
947091873117720577,Parque municipal perto da administração continua
947086724722806785,Parque Nacional do pantanal  em
947085121554960386,Parque estadual dos três picos 
947084766746202118,Parque estadual do rio turvo 
947079229476237318,Parque estadual dos três picos 
947078656966451200,Parque Nacional de itatiaia  o
947072264306135040,Parque municipal https   t
947054557179367425,Parque estadual do cantão tem aumento
947048576319938560,Parque municipal
946979938426609664,Parque municipal milton prates  
946954417458302976,Parque Nacional    
946940330712223744,Parque estadual do cantão bate recorde
946909750868013056,Parque estadual do sumidouro  onde
946907206716452864,Parque estadual do cantão bate recorde
946905620770324480,Parque Nacional de brasília celebra dia
946903814656929792,Parque municipal de itaguaí in itaguaí
946903009220530176,Unidade de conservação fica na região onde
946902249837613057,Parque estadual do cantão bate recorde
946901788279623681,Parque estadual do cantão bate recorde
946901218789658624,Parque estadual do cantão bate recorde
946897205738266624,Parque estadual do cantão bate recorde
946890576082776064,Parque Nacional etosha  namibia 
946889948342370305,Parque municipal getulio vargas https 
946886079390420992,Parque Nacional chapada das mesas 
946879185657753600,Parque Nacional do iguaçu https 
946865679239704576,Parque estadual do cantão tem aumento
946859085013581826,Parque Nacional da tijuca  
946853941140213761,Parque municipal de itaguaí in itaguaí
946853652618244098,Parque municipal de itaguaí in itaguaí
946850985229635585,Monumento natural das pegadas de dinossaurio
946849538437939201,Parque estadual de terra ronca 
946848355442987009,Parque estadual ibitipoca mg  
946848175633166336,Parque Nacional da chapada dos veadeiros
946840029606940672,Parque municipal de itaguaí in itaguaí
946830303284350977,Parque estadual do cantão recebeu quase
946829490050732032,Floresta nacional de caxiuanã envolvidas com
946829317010534401,Parque Nacional dos lagos plitvice 
946828674581528576,Parque Nacional das emas https 
946825172950102017,Parque estadual do cantão tem aumento
946821049034960896,Reserva biológica do parque equitativa 
946820544707596288,Monumento natural pouco conhecido de perto
946817705260322817,Parque estadual de itapuã estará aberto
946814526489493505,Parque estadual serra do mar 
946810590022037505,Parque Nacional sequóia  califórnia 
946802961296052224,Parque municipal e papa
946802412374953989,Parque municipal américo renné giannetti https
946795273170305025,Parque estadual do vassununga  santa
946791510376316928,Parque Nacional do pantanal https 
946789686634262529,Parque municipal américo renné giannetti https
946782819463909377,Parque Nacional do catimbau  
946777906017132545,Floresta nacional saracá taquera  no
946776317663567872,Parque estadual intervales   trilha
946773190415671296,Parque estadual do jaraguá  em
946755605024428032,Parque Nacional dos lençóis maranhenses in
946753987281289217,Floresta estadual 
946742625985425408,Parque Nacional e entender como se
946742160321400832,Parque Nacional da serra do cipó
946739846579662853,Parque estadual do sumidouro será reajustado
946739753910722560,Parque estadual do sumidouro será reajustado
946739688668266497,Parque estadual do sumidouro será reajustado
946728917452447744,Parque Nacional e está fechado por
946724781319213056,Parque Nacional das emas  
946721165560737792,Parque Nacional divulga atividades para 2018
946713457348567040,Parque Nacional  https  
946708366570741760,Unidade de conservação em até 5 anos
946707326798585856,Parque Nacional da serra dos órgãos
946692444271398912,"Parque Nacional penêda gerès 

e assim"
946667101682483200,Parque Nacional da  serrageral estarão
946666614757445632,Parque municipal tipo flash pra não
946665319728402432,Parque estadual dos três picos 
946657227275988993,Parque Nacional dos lagos plitvice 
946623470221299713,Reserva biológica do  https 
946602457743884288,Parque estadual do ibitipoca  
946579633792868352,Parque Nacional da terra do fogo
946576519748603909,Parque Nacional alberto de agostini https
946576169679425536,Parque estadual de vila velha 
946576134426292224,"Parque estadual de vila velha 
a"
946574530335727617,"Monumento natural   
https "
946573184802766848,Parque estadual da lagoa da jansen
946561050740232192,Parque Nacional guarulhos in guarulhos 
946536248465817600,Parque Nacional da tijuca  
946532894662713345,Parque municipal chico mendes
946529843901902850,Parque Nacional da serra da canastra
946522450858332160,Parque municipal eu tô muito perplexa
946519926541492224,Parque municipal   se entrena
946519740285034498,Parque municipal belo horizonte mg https
946518212623192064,Parque Nacional harz   alemanha
946512568289460227,Parque estadual da serra do 
946510593212715009,Parque Nacional jb in são paulo
946506700705665024,Parque municipal  ténis  
946504715340341248,Parque Nacional serra dos órgãos https
946498666231222273,Parque estadual serra do mar 
946494851280965633,Parque Nacional de aparados da serra
946492272899706880,Parque Nacional de monfragüe  https
946490245427683328,Parque municipal américo renné giannetti https
946485875596242944,Parque Nacional do iguaçu https 
946480179479793664,Parque municipal américo renné giannetti https
946478703525101570,Parque Nacional do iguaçu https 
946478153572200449,Parque Nacional do iguaçu https 
946477757734817792,Parque Nacional aparados da serra 
946475128136916992,Parque Nacional dos lagos plitvice 
946472456201687040,Parque Nacional do iguaçu com uma
946471172585263104,Parque Nacional dos lagos plitvice 
946470821979217920,Estação ecológica de caetés  cercas
946467272247345153,Parque Nacional aigues tortes  
946464126242607105,Parque Nacional do iguaçu https 
946463770263674882,Parque Nacional do iguaçu https 
946462285278543875,Parque Nacional do iguaçu https 
946458909346164736,Parque municipal mas do outro lado
946457183159574528,Parque Nacional da chapada dos veadeiros
946455275829112832,Parque Nacional de etosha  capt
946420766022799361,Parque Nacional do iguaçú  
946416779903094785,Parque natural municipal da prainha https 
946416138157780992,Parque Nacional da serra da bocaina
946411255060983813,Parque Nacional torres del paine 
946410415411683337,Parque Nacional torres del paine 
946406332470571008,"Parque Nacional do itatiaia  rj
natureza"
946390198719524868,Parque municipal  https  
946388991837900800,Parque Nacional da serra da bocaina
946388712530857984,Parque municipal  https  
946386046731915264,Parque estadual
946379304367206401,Unidade de conservação brasileira de proteção integral
946370172373286912,Floresta nacional de ipanema mostra sua
946368660486139904,Parque Nacional das sete cidades 
946365672304586753,Parque estadual de campos do jordão
946361872558764032,Unidade de conservação que protege o bioma
946357576823918592,Parque Nacional do iguaçu  
946355048514142208,Reserva extrativista  resex  cassurubá
946354493532250112,Parque estadual do caracol  
946353922674974720,Área de proteção ambiental  apa  do
946352334732431360,Parque Nacional de brasília  
946349911473315842,Parque Nacional 
946341292514168833,Parque Nacional marinho dos abrolhos 
946335678266142720,Parque municipal do mocambo https 
946334919634096134,Parque estadual terra ronca https 
946334553148342272,Parque Nacional dos lençóis maranhenses https
946323761233403904,Parque Nacional dos lagos de plitvice
946321493528637440,Parque natural municipal das andorinhas  
946312170329001984,Parque Nacional dos lençóis maranhenses no
946310634119024640,Parque estadual turístico do alto ribeira
946306989805703168,Parque estadual terra ronca https 
946284658102284288,Parque Nacional dos lagos plitvice 
946235744691146752,Parque Nacional de yosemite https 
946179940772405251,Parque municipal de itaguaí in itaguaí
946176650819067904,Parque municipal  nesse lugar só
946170370750640128,Parque municipal    nem
946170156136349696,Parque natural municipal morro da pescaria https
946162081627287552,Parque Nacional das sempre vivas 
946153747138469889,Parque estadual terra ronca https 
946147177449099264,Floresta nacional de brasília https 
946145936023150592,"Parque Nacional do grand canyon 
o"
946144981873496069,Parque Nacional e reserva de denali
946140962564304896,Parque Nacional de banff  no
946140003297611776,Parque municipal   barueri https
946138662357622786,Parque Nacional de lake louise em
946137774545100800,Reserva extrativista no pa recebe prêmio
946134998544994305,Reserva extrativista riozinho do anfrísio 
946133457251561475,Parque estadual terra ronca https 
946133181627092998,Parque Nacional de itatiáia https 
946131399073058818,Reserva extrativista no pa recebe prêmio
946131140003459072,Reserva extrativista riozinho do anfrísio 
946131012261744640,Parque Nacional del chicamocha https 
946127437183766529,Parque municipal   https 
946123772276498432,Reserva extrativista riozinho do anfrísio 
946119166154674177,Parque Nacional de brasilia água mineral
946119126203842560,Área de proteção ambiental de niterói https 
946116646363680769,Parque Nacional dos lençóis maranhenses https
946110495681019904,Parque Nacional de ubajara  
946108959680860161,Parque Nacional huascarán https  
946106956581822464,Parque Nacional protegido que está localizado
946106946976968704,Parque Nacional transfronteiriço dolombi boé tchetche
946102233501970432,Parque Nacional de ubajara  ao
946098436029296640,Parque Nacional dos lagos plitvice 
946098171825995777,Parque estadual do pico do itambé
946086072618049536,Parque estadual do ibitipoca in lima
946080481354960898,Unidade de conservação é considerada uma das
946077954026754049,Unidade de conservação federal  gerida pelo
946065137441570821,Reserva extrativista no pa recebe prêmio
946058332472856576,Parque Nacional da peneda gerês 
946045187096219648,Parque estadual caverna do diabo in
946039461837713408,Parque municipal ponte dos bilhares in
946032956581191680,Parque estadual de itapuã  
946027359756521472,Parque Nacional do iguaçu abre mais
946024566559793152,Parque Nacional de torres del paine
946010886895960064,Parque estadual ilha do cardoso 
946010186396733440,Parque Nacional do iguaçu https 
946005278427963397,Parque estadual de itapuã  brazil
946003562961801217,Parque municipal  enois
945999712007704576,Parque estadual de itapuã  brazil
945999676641366018,Parque estadual de itapuã  brazil
945999248495140865,Parque municipal da pessoa idosa transforma
945998475883352064,Parque Nacional das emas  
945988672280817666,Parque Nacional da chapada dos veadeiros
945985263460933633,Parque estadual de itapuã  brazil
945984941619326976,Parque estadual do ibitipoca  na
945979589213540352,Parque estadual do caracol  no
945979440101842944,Parque estadual do caracol  no
945979331884519424,Parque estadual do caracol  no
945977942554873856,"Parque estadual do caracol
um parque com"
945977791304077312,"Parque estadual do caracol
um parque com"
945976760667172868,Parque estadual do caracol  com
945976516814475264,Parque estadual do caracol  com
945976339454193669,Parque estadual do caracol  com
945976195925069824,Parque estadual do caracol  com
945976085191196672,Parque estadual do caracol  com
945970958581534720,Parque Nacional essa semana  o
945959377537781760,Reserva extrativista no pa recebe prêmio
945955465216905216,Reserva extrativista no pa recebe prêmio
945953035645317121,Reserva extrativista no pa recebe prêmio
945952361645821953,Parque municipal ambientalista severino montenegro 
945949720333209601,Reserva extrativista no pa recebe prêmio
945931404461969409,Reserva extrativista no pa recebe prêmio
945930437817524224,Reserva extrativista no pa recebe prêmio
945919752005922816,Reserva extrativista no pa recebe prêmio
945912441699004417,Parque Nacional dos lagos plitvice 
945911646374916097,Reserva extrativista no pa recebe prêmio
945906378333450240,Reserva extrativista no pa recebe prêmio
945896838082842625,Reserva extrativista no pa recebe prêmio
945896536675880960,Reserva extrativista no pa recebe prêmio
945896133762699264,Reserva extrativista no pa recebe prêmio
945895530420244480,Reserva extrativista no pa recebe prêmio
945867509500121088,Parque Nacional  do itatiaia https
945856878323666945,Parque Nacional dos lagos plitvice 
945852865574244352,Parque municipal  othon palace 
945841499765428225,Parque Nacional também https  
945834363538870272,Parque Nacional cairngorms  cujo destaque
945832891434618880,Parque Nacional yellowstone nos eua 
945821018463010818,Parque Nacional da tijuca  sumaré
945820613704171527,Reserva biológica de comboios pra começar
945815322904485888,Parque Nacional do itatiaia  
945809747537747969,Parque municipal
945806832412569600,Parque estadual serra do rola moça
945799253720535040,Parque municipal das dunas da lagoa
945796807237480449,Parque municipal das dunas da lagoa
945791433008697347,Parque municipal ponte dos bilhares in
945772389341769733,Parque municipal de itaguaí in itaguaí
945766473783529478,Parque municipal   barueri https
945763468417880068,"Parque Nacional da serra dos órgãos
"
945762612196904960,Parque municipal flamboyant in goiânia 
945760407381250048,Parque Nacional da serra dos órgãos
945760049657516039,Estação ecológica e agora tô doida
945757239306006528,Parque Nacional de brasília  
945756886741274625,Parque municipal getulio vargas https 
945751074119536642,Parque Nacional dos lençóis maranhenses https
945744778553188352,Parque estadual rio canoas  próximo
945743734498619392,Parque municipal américo renné giannetti https
945738993773236224,Parque municipal lagoa do peri https
945733262537908224,Parque municipal
945730401775050753,Reserva biológica de guaratiba  
945728552900624384,Parque estadual serra azul  
945726931118391296,Parque Nacional da peneda gerês 30
945726853712629768,Parque Nacional da peneda gerês 30
945725979611271173,Parque Nacional dos lagos plitvice 
945723869918310401,Parque Nacional do iguaçu vários quatis
945721392774963200,Parque Nacional do iguaçu  londres
945720181048971265,Parque municipal    prazer
945719269328867334,Parque Nacional das sempre vivas 
945714596622594049,Parque municipal das  https 
945684947716788224,Parque estadual cunhambebe   pec
945680629718544384,Parque estadual serra azul https 
945672496673710080,Parque municipal na afonso pena
945661517646610433,Parque Nacional do afeganistão após anos
945652078038396934,Parque Nacional da pena https 
945647052222009345,Parque Nacional transfronteiriço dolombi boé tchetche
945643820133376000,Parque Nacional da serra da 
945642169653743616,Monumento natural  mona  do
945641847174639619,Parque municipal
945637311420739590,Reserva extrativista riozinho do anfrísio 
945635284519149568,Parque municipal
945633873655975936,Parque Nacional do iguaçu ganhou destaque
945629014122692610,Parque estadual do rio doce 
945627688752082944,Área de proteção ambiental do estado  https
945622335339552779,Parque estadual alberto löfgren  horto
945618685527552001,Parque Nacional marinho dos abrolhos 
945617894146179072,Parque estadual do pico do itambé
945614276588376064,Parque Nacional do iguaçu  
945608134470627328,Parque Nacional marinho dos abrolhos 
945605365831536640,Parque estadual da serra da carqueja
945592529398980610,Parque estadual do rio doce 
945577238782767106,Parque natural municipal paisagem carioca  
945575215349882880,Parque municipal   ta se
945574969295110144,Parque municipal é so o da
945570270768660481,Parque Nacional peneda gerês  na
945570113109090304,Parque Nacional peneda gerês  na
945558164057018369,Parque estadual serra verde https 
945539778224717824,Parque Nacional dos lagos plitvice 
945500039786397696,Parque municipal amanhã  atenta
945493893684047874,Área de proteção ambiental de fernando de noronha
945492067307917312,Parque municipal    
945463608531701760,Parque Nacional de itatiáia https 
945460291483074560,Parque estadual do rio doce
945451392852021253,Parque Nacional da tijuca terão que
945451367652474881,Parque Nacional da tijuca  sumaré
945451365253267458,Parque Nacional da tijuca  sumaré
945450616817676288,Parque Nacional da peneda gerês 
945450613478916097,Parque Nacional da peneda gerês 
945450610878566400,Parque Nacional da peneda gerês 
945450606801637376,Parque Nacional da peneda gerês 
945448538405818369,Reserva Particular do Patrimônio Natural  rppn  
945429112423899136,Parque municipal  https  
945428957276573697,Parque estadual no rio grande do
945423915555393536,Parque municipal
945421432531668997,"Parque Nacional de yosemite  

foto"
945421390035013632,Parque Nacional dos  https 
945418257951010817,Parque municipal  
945413043059601408,Parque municipal
945409293288919040,Parque municipal de itaguaí in itaguaí
945409208345915393,Parque Nacional terra ronca in goiás
945402682335838208,Parque Nacional da serra dos órgãos
945401876790562817,Área de proteção ambiental desde 1997 
945396679750152192,Parque estadual de vila velha https
945392719882358785,Parque municipal milton prates https 
945392481595809792,Parque municipal milton prates https 
945391819734507520,Parque municipal milton prates https 
945391300479672320,Parque municipal milton prates https 
945387953605566464,Parque municipal milton prates https 
945387789243297792,Parque municipal milton prates https 
945384547608391681,Parque municipal em parque municipal milton
945377567862792192,Parque municipal getulio vargas https 
945372218443354112,Parque Nacional da tijuca  
945362851660795905,Parque municipal também que algo chocante
945353808204443648,Parque Nacional dos lagos plitvice 
945352424671334400,Parque municipal getúlio vargas  capão
945338959290355712,Parque municipal belo horizonte mg https
945338899542487043,Parque municipal belo horizonte mg https
945338357311295488,Parque Nacional alberto de agostini https
945336574358716418,Parque Nacional da serra dos órgãos
945325629125419008,Parque estadual do grajaú https 
945304947565957120,Parque estadual cantareira https  
945280703763238913,Parque estadual cantareira https  
945272190383087616,Parque Nacional das emas  
945257228474441728,Parque Nacional de aparados da serra
945228966331260928,Estação ecológica da juréia itatins 
945167307793403905,Parque Nacional dos lagos plitvice 
945112429100519424,Parque estadual cantareira https  
945084774091313152,Parque estadual cantareira https  
945082208359985152,Parque Nacional dos lagos plitvice 
945074161965260800,Parque estadual cantareira https  
945057665209782273,Parque estadual cantareira https  
945051141234192384,Reserva biológica santo antonio santos dumont
945028257023496193,Parque estadual do pico do itambé
945021438876094465,Parque Nacional das calanques  onde
945021273888968706,Parque Nacional da chapada dos veadeiros
945019906768109569,Reserva de desenvolvimento sustentável estadual ponta do tubarão
945001233189924864,Parque municipal de itaguaí in itaguaí
944992722829697024,Parque natural municipal da taquara https 
944988805844688896,Parque municipal de itaguaí in itaguaí
