,lat,long,N
0,-3.11,-59.98,4
1,-22.4,-43.13,7
2,-20.39,-41.03,6
3,-23.97,-46.35,52
4,-25.61,-54.48,86
5,-23.87,-46.57,14
6,-23.41,-46.04,18
7,-22.97,-43.28,1
8,-3.1,-60.02,97
9,-4.16,-38.11,14
10,-29.05,-50.14,1
11,-23.54,-46.56,17
12,-3.84,-40.9,3
13,-20.66,-40.47,1
14,-25.25,-50.01,3
15,-10.33,-53.2,309
16,-29.31,-50.85,19
17,-21.79,-46.59,3
18,-19.92,-43.94,6
19,-9.63,-35.74,1
20,-20.25,-46.37,1
21,-7.12,-34.88,6
22,-25.69,-54.44,2
23,-19.92,-43.95,104
24,-26.3,-48.85,6
25,-23.56,-45.51,1
26,-22.47,-43.83,3
27,-32.58,-52.56,1
28,-7.16,-47.91,1
29,-1.45,-48.47,10
30,-15.41,-55.83,3
31,-15.57,-56.07,3
32,-19.88,-43.93,1
33,-22.97,-47.0,1
34,-19.92,-43.93,123
35,-24.96,-53.46,1
36,-25.54,-54.59,10
37,-22.96,-43.21,1
38,-22.45,-42.99,1
39,-23.35,-51.14,1
40,-22.76,-43.45,2
41,-8.06,-34.88,7
42,-23.57,-46.78,24
43,-19.58,-42.64,1
44,-19.91,-43.94,1
45,-22.42,-42.98,6
46,-23.33,-46.69,1
47,-23.55,-46.64,2
48,-25.68,-54.44,11
49,-23.45,-46.64,1
50,-29.46,-51.29,1
51,-14.17,-47.82,7
52,-23.56,-45.5,4
53,-25.46,-49.53,2
54,-22.97,-43.25,14
55,-12.98,-44.05,1
56,-23.46,-46.76,12
57,-23.53,-46.79,3
58,-22.95,-43.21,7
59,-21.73,-47.58,5
60,-18.92,-48.28,4
61,-23.03,-45.58,2
62,-28.68,-49.37,2
63,-30.03,-51.23,8
64,-22.91,-43.21,26
65,-20.32,-40.34,1
66,-5.09,-42.81,2
67,-16.75,-43.89,2
68,-15.74,-47.92,10
69,-23.55,-46.63,25
70,-23.34,-44.88,3
71,-23.51,-46.81,1
72,-22.88,-43.12,6
73,-22.8,-43.37,1
74,-25.09,-50.16,2
75,-26.92,-48.64,1
76,-22.45,-42.98,24
77,-23.51,-46.88,11
78,-17.75,-48.63,1
79,-23.47,-46.85,4
80,-8.29,-35.97,1
81,-3.13,-59.98,2
82,-25.25,-50.02,15
83,-9.98,-67.82,1
84,-28.65,-53.61,1
85,-23.52,-46.19,7
86,-20.05,-44.0,6
87,-20.06,-44.03,9
88,-23.03,-45.56,2
89,-25.61,-54.47,8
90,-27.6,-48.55,2
91,-19.34,-43.63,8
92,-22.35,-44.82,1
93,-27.06,-51.11,2
94,-17.79,-50.92,1
95,-23.42,-46.59,4
96,-9.75,-36.66,2
97,-22.96,-43.18,8
98,-23.42,-46.55,1
99,-27.1,-48.64,2
100,-21.76,-43.35,2
101,-19.81,-43.94,1
102,-19.79,-43.94,1
103,-6.51,-35.66,1
104,-29.65,-51.17,2
105,-20.63,-40.42,2
106,-23.55,-51.46,2
107,-25.53,-54.59,1
108,-23.5,-46.87,13
109,-20.26,-42.03,2
110,-10.94,-62.83,2
111,-22.39,-42.95,1
112,-23.32,-46.59,9
113,-20.46,-54.62,4
114,-27.17,-51.51,1
115,-22.51,-43.18,4
116,-25.53,-54.58,1
117,-23.46,-46.63,9
118,-19.89,-43.94,1
119,-19.94,-43.97,4
120,-19.91,-43.97,1
121,-19.92,-43.96,3
122,-15.6,-56.1,4
123,-22.97,-43.29,2
124,-25.57,-54.57,1
125,-29.98,-50.13,1
126,-19.93,-43.9,1
127,-24.26,-49.72,2
128,-25.44,-54.4,1
129,-18.28,-42.67,1
130,-2.88,-41.67,1
131,-25.45,-49.38,5
132,-19.5,-42.63,1
133,-23.43,-51.94,1
134,-2.81,-40.43,1
135,-21.85,-43.81,1
136,-21.71,-43.9,3
137,-25.44,-49.32,6
138,-23.62,-45.41,3
139,-21.44,-42.97,1
140,-15.81,-47.99,1
141,-5.19,-37.34,1
142,-22.66,-45.0,2
143,-12.35,-46.6,2
144,-16.68,-49.25,8
145,-15.77,-47.89,1
146,-22.47,-43.09,1
147,-20.5,-43.86,1
148,-9.65,-35.73,6
149,-23.86,-46.57,8
150,-19.08,-43.55,1
151,-23.64,-46.68,2
152,-15.62,-47.65,1
153,-24.01,-46.43,1
154,-15.83,-48.06,1
155,-15.85,-48.03,1
156,-9.64,-35.7,2
157,-23.43,-46.65,23
158,-20.33,-46.37,1
159,-9.67,-35.73,1
160,-22.93,-43.24,1
161,-20.92,-44.87,1
162,-21.79,-46.56,6
163,-10.92,-37.08,4
164,-22.98,-43.29,9
165,-19.77,-43.85,1
166,-25.42,-49.28,1
167,-8.11,-42.94,1
168,-15.74,-47.93,4
169,-9.93,-67.86,1
170,-16.73,-43.87,3
171,-15.59,-56.08,1
172,-21.17,-47.8,1
173,-15.73,-47.91,1
174,-9.38,-40.5,1
175,-29.32,-50.85,9
176,-19.77,-44.09,2
177,-22.97,-43.02,1
178,-18.57,-53.13,1
179,-7.22,-35.88,1
180,-19.92,-43.92,4
181,-19.88,-44.0,9
182,-19.93,-43.94,1
183,-20.31,-40.34,1
184,-23.65,-46.63,1
185,-17.81,-50.6,1
186,-23.59,-46.69,25
187,-23.71,-46.7,2
188,-25.43,-49.27,6
189,-23.01,-43.51,1
190,-22.94,-43.21,1
191,-28.51,-50.94,1
192,-28.65,-49.13,1
193,-19.91,-44.08,2
194,-25.1,-50.16,1
195,-22.91,-47.06,3
196,-16.63,-49.25,1
197,-22.23,-45.93,2
198,-23.62,-45.42,1
199,-23.31,-51.16,3
200,-22.12,-51.39,1
201,-19.97,-44.2,6
202,-22.47,-44.45,1
203,-6.07,-50.06,1
204,-14.14,-47.51,2
205,-22.36,-47.38,1
206,-23.33,-46.73,1
207,-3.08,-60.01,9
208,-23.52,-46.84,1
209,-26.92,-48.65,1
210,-3.94,-41.72,1
211,-22.32,-49.07,1
212,-19.93,-43.93,38
213,-24.5,-48.08,2
214,-22.08,-41.87,2
215,-19.95,-43.94,1
216,-5.81,-35.21,3
217,-5.79,-35.2,1
218,-29.36,-50.82,1
219,-19.35,-43.62,2
220,-7.7,-42.5,1
221,-26.78,-51.01,1
222,-23.71,-46.42,1
223,-22.99,-43.3,11
224,-22.5,-44.57,1
225,-22.33,-44.58,1
226,-25.6,-54.52,1
227,-24.52,-48.84,1
228,-23.46,-46.64,3
229,-23.81,-46.49,1
230,-23.19,-45.89,2
231,-15.8,-47.9,1
232,-20.66,-43.79,1
233,-14.13,-47.51,1
234,-23.71,-46.55,2
235,-25.49,-49.26,1
236,-8.28,-35.97,1
237,-20.32,-40.32,1
238,-15.98,-47.58,1
239,-31.75,-52.32,1
240,-23.96,-46.38,1
241,-20.31,-40.29,1
242,-23.07,-46.95,1
243,-22.66,-50.42,1
244,-19.87,-44.01,1
245,-19.94,-43.93,2
246,45.45,-73.55,1
247,-25.68,-54.43,1
248,-23.62,-46.68,1
249,-12.98,-38.48,1
250,-16.63,-49.26,1
251,-20.3,-40.32,1
252,-22.49,-44.57,2
253,-22.87,-42.03,1
254,-22.43,-44.62,1
255,-0.65,-48.49,2
256,-19.93,-43.96,1
257,-12.26,-38.96,1
258,-27.83,-54.66,1
259,-25.48,-49.25,1
260,-26.28,-48.85,1
261,-9.56,-35.74,1
262,-28.3,-52.79,2
263,-25.51,-54.57,1
264,-21.42,-50.09,1
265,-15.71,-47.91,1
266,-23.5,-46.88,1
267,-24.05,-52.38,1
268,-23.2,-47.29,1
269,-16.74,-43.86,1
270,-3.13,-60.02,1
271,-6.07,-49.89,1
272,-27.84,-48.63,1
273,-19.9,-44.01,1
274,-2.59,-44.24,1
275,-25.53,-54.57,1
276,-5.83,-35.21,1
277,-22.93,-43.44,2
278,-6.06,-49.92,1
279,-29.25,-49.86,1
280,-29.17,-51.18,1
281,-22.46,-41.88,1
282,-20.33,-40.29,1
283,-23.5,-47.46,1
284,-1.46,-48.49,1
285,-19.52,-42.63,1
286,-23.46,-46.65,1
287,-23.44,-46.52,3
288,-20.39,-43.5,1
289,-22.73,-47.65,1
290,-27.01,-48.64,1
291,-29.69,-51.14,1
292,-10.18,-48.33,1
293,-1.46,-48.48,1
294,-22.5,-44.56,1
295,-21.91,-47.62,1
296,-21.65,-41.75,1
297,-29.69,-53.81,1
298,-22.9,-43.23,1
299,-15.75,-47.92,1
300,-23.0,-43.34,1
301,-23.57,-46.65,1
302,-29.45,-51.31,1
303,-23.66,-46.53,1
304,-12.98,-38.44,1
305,-25.42,-49.26,1
306,-26.29,-48.85,1
307,-9.65,-35.72,1
308,-19.48,-43.91,1
309,-1.42,-48.46,1
310,-10.17,-48.33,1
311,-23.61,-46.78,1
312,-25.55,-54.56,1
313,-5.81,-35.2,1
