author_id,name,username,verified,created_at,id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,place_id,country,country_code,full_name,place_type,coordinates,text,-2
122352828,Luciana,Luciana_Navas,False,2011-09-22T19:19:40.000Z,116954835810648064,,0,0,0,0,,,,,,,"#AlmaeCoração Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/5LbTrWNU Siga @selvooficial",
251459661,Édico Lima ⓟ 𓃟,edicolima,False,2011-09-22T19:19:40.000Z,116954835517063169,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/gXldCUnX",
281001664,Ganhe $$$ na net!,SGDArevelado,False,2011-09-22T19:19:40.000Z,116954834623664128,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/uyeXGsud",
355189826,Biomedicina 2011.1,BioFASER,False,2011-09-22T19:19:40.000Z,116954834543984640,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/70V1KRKG",
72437027,DeskCine,deskcine,False,2011-09-22T19:19:40.000Z,116954834518806528,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/xTjgXK8y",
265042426,Marcelo Silva,atitudeproativa,False,2011-09-22T19:19:40.000Z,116954834330066944,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/MTAyEMVs",
34943722,Michaella Enguel,Michaella777,False,2011-09-22T19:19:40.000Z,116954834254569472,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/2xSWeGBR",
200641256,SaúdeNatural,amazonprodutos,False,2011-09-22T19:19:40.000Z,116954834229407744,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/1TfPkwHr",
158889873,Roberto Vindica,vindicara25,False,2011-09-22T19:19:40.000Z,116954834158108672,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/Eg28YEvt",
208227620,Regina Lima,camaradecultura,False,2011-09-22T19:19:39.000Z,116954833818370048,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/TdP2jPZT",
142752997,365 Dias de Notícias,365Dias_,False,2011-09-22T19:19:39.000Z,116954833742856192,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/r6Tu94DY",
35524446,Portal EcoDebate,ecodebate,False,2011-09-22T19:19:39.000Z,116954833705107456,,0,0,0,1,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/VKfMKzwl",
145450017,SINGLE DÚ ABC 🔞🔥👌,Singleduabc,False,2011-09-22T19:13:12.000Z,116953209301516290,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selva... http://t.co/f2sSTPs0",
139839061,Segundo Plano,SegundoPlanoBR,False,2011-09-22T19:13:09.000Z,116953196500484096,155570307.0,0,0,0,0,,,,,,,"@GOGYN @infonuevo Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/TrV1ko8i @SegundoPlanoBR",
142420817,Sobrecarregado,Sobrecarregado,False,2011-09-22T19:13:09.000Z,116953196160749568,155570307.0,0,0,0,0,,,,,,,"@GOGYN @infonuevo Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/9ilK6ByY @SegundoPlanoBR",
155691003,Informação,infonuevo,False,2011-09-22T19:13:09.000Z,116953195682598914,155570307.0,0,0,0,0,,,,,,,"@GOGYN @infonuevo Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/RPsPIPEJ @SegundoPlanoBR",
155570307,Goiás - Goiânia,GOGYN,False,2011-09-22T19:13:09.000Z,116953195376414720,155570307.0,0,0,0,0,,,,,,,"@GOGYN @infonuevo Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/s16wpQRS @SegundoPlanoBR",
131571364,Rede Geral Perfis,tweets24hs,False,2011-09-22T19:13:09.000Z,116953194680156160,,0,0,0,0,,,,,,,"#RGP Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras ... http://t.co/dwO4soN8",
35739931,Notícias News,TimesNoticias,False,2011-09-22T19:13:06.000Z,116953182286004224,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/uFpi9sVf",
106747646,Notícias 24 horas,noticiasemrede,False,2011-09-22T19:13:06.000Z,116953181778489344,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/XTBrzne3",
106720870,Universo Geral,universogeral,False,2011-09-22T19:13:06.000Z,116953181463908353,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/ZCo7led6",
41326847,Rede Geral Perfis,salivates,False,2011-09-22T19:13:05.000Z,116953179270295552,,0,0,0,0,,,,,,,"#sp Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras s... http://t.co/5Ku7FZjj",
88979052,Nova nota,novanota,False,2011-09-22T19:13:00.000Z,116953158995034112,,0,0,0,0,,,,,,,"#R7 Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras se... http://t.co/kmPGbfwW",
80987372,Hoje em Dia News,hojeemdians,False,2011-09-22T19:13:00.000Z,116953157732544512,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/PZqNm75E",
77730376,Involuntario.,_Invo,False,2011-09-22T19:12:57.000Z,116953145665527808,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/IUU1knzJ G1 News",
43996457,Sobre Air France,sigaairfrance,False,2011-09-22T19:09:49.000Z,116952358893793280,,0,0,0,0,,,,,,,"#airfrance447 no g1: Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/wKgsm8LD",
288330146,×• тσσи,LandHooverM,False,2011-09-22T19:09:49.000Z,116952358814093312,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/oE6uFCFr",
287368022,Juliano Martins,julianomarti,False,2011-09-22T19:09:49.000Z,116952358361116672,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/kCGWbGr7",
77730376,Involuntario.,_Invo,False,2011-09-22T19:09:49.000Z,116952357815861248,,0,0,0,0,,,,,,,"G1 Mundo Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/IUU1knzJ",
282039582,info,informerbr,False,2011-09-22T19:09:49.000Z,116952356754690048,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/95WAcmhd",
82668319,LiveJornal,livejornal,False,2011-09-22T19:09:49.000Z,116952356654022657,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/XuqrTfJL",
239371637,Jonathan Iqueda,jonathaniqueda,False,2011-09-22T19:09:49.000Z,116952356247183360,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/Dkcis7ut",
78375962,Bryan,Bryanteste,False,2011-09-22T19:09:49.000Z,116952356062629888,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/USX27Gqq",
14801327,Em Tempo Real,emtemporeal,False,2011-09-22T19:09:48.000Z,116952351700561920,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/hqVdHq2L",
231280267,Sobral Host,sobralhost,False,2011-09-22T19:08:17.000Z,116951970991980544,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/PiePKbKj",
238967101,@081online,081online,False,2011-09-22T19:07:41.000Z,116951818457726976,,0,0,0,0,,,,,,,"g1: Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://t.co/oUxPjOSt: g1: Para evit... http://t.co/135oTfSk",
105289386,Alan Giannetti,alangiannetti,False,2011-09-22T19:04:42.000Z,116951067899609088,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional  http://t.co/YcfDR4yp #2012",
33906365,Alertas 24/7,Alertas247,False,2011-09-22T19:01:02.000Z,116950148550115328,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional  http://t.co/hRuVkXn0",
311279840,6K Subscribers,DavidFloresMc,False,2011-09-22T19:00:39.000Z,116950052357939200,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selva... http://t.co/1kropg66",
178367712,BH Seguros,md_comunicacao,False,2011-09-22T19:00:33.000Z,116950027020144640,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana par... http://t.co/kgUa8E9V #garraseguros",
71265174,UAI Seguros BH ®,UAI_SEGUROS_BH,False,2011-09-22T19:00:23.000Z,116949984875773952,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana par... http://t.co/QPnJ7F54 #garraseguros",
35398575,AgitoSLZ . com,agitoslz,False,2011-09-22T19:00:21.000Z,116949972892659712,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana pa... http://t.co/eg7HYdfT (via @agitoslz)",
368419530,Noticiário 24h/dia,tweetnoticiario,False,2011-09-22T19:00:15.000Z,116949951006769152,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional",
267336909,seguroeprotecao,seguroprotecao,False,2011-09-22T19:00:15.000Z,116949950457327616,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana par... http://t.co/1WSe4oH9 #garraseguros",
247277282,gustavo martins ∞,gumartins95,False,2011-09-22T19:00:15.000Z,116949949899489280,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/gBQCgpn6",
366684165,LBA Diligências,lbadiligencias,False,2011-09-22T19:00:14.000Z,116949945151524864,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/FWst575E",
334253654,Fecald Oficial,FecaldOficial,False,2011-09-22T19:00:14.000Z,116949944413331456,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/RUuLgFsz",
258792311,Rede Pandora,redepandora,False,2011-09-22T19:00:13.000Z,116949942345535488,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/2DhT1ewN",
357083246,Futebol Acontece,FutebolAc,False,2011-09-22T19:00:13.000Z,116949942106468353,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/4dAMtRDu",
60905247,DANYLO MEDEIROS 𓂀,d1v,False,2011-09-22T19:00:11.000Z,116949934917435393,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana pa... http://t.co/oZ00sAkP #TeamFollowBack",
273810769,Prescila Marconi,PrennyMarconi,False,2011-09-22T19:00:11.000Z,116949934846119936,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/T3k5ADIS",
271221391,Poly Marina Castro,PolyanaMarinaa,False,2011-09-22T19:00:11.000Z,116949934300860417,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/LXyhEjXi",
110761918,Raphael Fonseca,RaphaeelFonseca,False,2011-09-22T19:00:11.000Z,116949934288289792,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/Dc7z0Dfb",
357025292,Kamila Pitanga,Televan_Ofertas,False,2011-09-22T19:00:11.000Z,116949934137290753,,0,0,0,0,,,,,,,"RT @TELEVAN #tv Para evitar matança, Quênia transfere 200 elefantes para parque nacional: C... http://t.co/zSWJeovu #televan #locação",
104654161,Drycaa,drycahale,False,2011-09-22T19:00:11.000Z,116949934049210368,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/0T7sJgBL",
51429527,Paula :),tdl_lovers,False,2011-09-22T19:00:11.000Z,116949933730447360,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/uGvXV56d",
42506430,Cha wheller,chazzinho_o,False,2011-09-22T19:00:11.000Z,116949933315194880,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/7YtFxX6S",
270735223,Poliana Melisa,PolianaMelisa,False,2011-09-22T19:00:11.000Z,116949933306810368,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/leTJ3qYl",
273813872,Richard Molari,RichardMolari,False,2011-09-22T19:00:11.000Z,116949932778336256,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/6Bff9GoN",
273799446,Breno Marocci,BrenoMarocci,False,2011-09-22T19:00:11.000Z,116949932040134656,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/1NZofHSE",
273812217,Georgia Lisene,GeorgiaLisene,False,2011-09-22T19:00:11.000Z,116949931645861888,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/hJZOGLxo",
273795775,Ronei Lorenzi,RoneiInderio,False,2011-09-22T19:00:11.000Z,116949931167719424,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/eRx253XT",
273794552,Chrys,chryscorry,False,2011-09-22T19:00:10.000Z,116949930836365313,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/qQnexYph",
273791303,Marcinho,MarcioAntolini,False,2011-09-22T19:00:10.000Z,116949930706345985,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/Xxe45Sce",
273321136,Britani,BritaniBier,False,2011-09-22T19:00:10.000Z,116949930463072258,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/vzvsuHgL",
35398575,AgitoSLZ . com,agitoslz,False,2011-09-22T19:00:10.000Z,116949930257563648,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional http://q.gs/Pmit",
273319844,L. Lu Poletto,LeLuanaPoletto,False,2011-09-22T19:00:10.000Z,116949930165280768,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/cV6qPKzR",
273316667,Salvador M.,SalvadorMorttin,False,2011-09-22T19:00:10.000Z,116949930022682624,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/3rAmIzt4",
273315636,Daniel Marcolli,DanielMarcolli,False,2011-09-22T19:00:10.000Z,116949929737457664,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/gY7AdLLz",
273280745,Ondina,OndinaCaroti,False,2011-09-22T19:00:10.000Z,116949929519362048,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/1WRXElZu",
273265211,Marcela Pessi,MarcelaPessi,False,2011-09-22T19:00:10.000Z,116949929083154433,,0,0,0,0,,,,,,,"Para evitar matança, Quênia transfere 200 elefantes para parque nacional: Com expansão humana para terras selvag... http://t.co/twRwsvcm",
