,lat,long,N
0,-26.92,-48.64,13
1,-23.0,-43.37,21
2,-4.15,-38.11,24
3,-25.25,-50.01,41
4,-25.61,-54.48,253
5,-25.68,-54.45,1
6,-15.41,-55.83,38
7,-19.92,-43.93,466
8,-16.71,-49.32,18
9,-22.96,-43.27,94
10,-22.69,-43.26,1
11,-22.97,-43.03,14
12,-25.45,-49.38,16
13,-23.6,-45.44,3
14,-25.69,-54.44,37
15,-23.57,-46.78,36
16,-23.41,-46.04,89
17,-21.73,-47.58,9
18,-22.4,-42.97,1
19,-29.31,-50.85,89
20,-20.06,-44.03,46
21,-26.27,-48.52,2
22,-22.41,-42.97,3
23,-4.1,-41.7,1
24,-25.49,-54.57,1
25,-22.52,-55.73,1
26,-3.1,-60.03,2
27,-15.74,-47.92,63
28,-22.45,-42.98,59
29,-16.76,-43.89,63
30,-25.24,-50.04,5
31,-22.48,-44.58,1
32,-15.36,-55.89,1
33,-20.39,-41.02,17
34,-23.81,-46.5,6
35,-32.58,-52.56,1
36,-7.21,-39.44,8
37,-27.82,-52.91,1
38,-23.59,-45.44,11
39,-19.83,-43.98,1
40,-20.25,-46.37,8
41,-3.1,-60.02,345
42,-21.79,-46.59,25
43,-23.5,-46.87,82
44,-20.66,-40.47,15
45,-2.66,-42.86,2
46,-2.66,-42.87,1
47,-25.43,-49.25,1
48,-20.6,-40.43,22
49,-23.83,-45.36,4
50,-23.46,-46.75,36
51,-22.39,-44.96,1
52,-4.16,-38.11,35
53,-27.76,-48.54,2
54,-23.4,-46.58,12
55,-22.47,-44.58,14
56,-22.41,-47.52,20
57,-33.32,-71.4,1
58,-22.96,-43.18,13
59,-16.7,-49.24,93
60,-22.92,-43.23,1
61,-25.54,-54.58,4
62,-21.21,-47.8,21
63,-23.87,-46.57,13
64,-25.35,-51.47,3
65,-23.71,-46.04,2
66,-16.73,-43.86,1
67,-23.1,-48.91,13
68,-29.05,-50.14,10
69,-3.08,-60.01,13
70,-25.23,-50.04,4
71,-9.62,-35.75,3
72,-18.87,-48.29,3
73,-19.73,-43.94,1
74,-3.11,-59.98,60
75,-23.8,-46.49,5
76,-29.49,-51.36,8
77,-16.75,-43.88,18
78,-6.39,-38.85,1
79,-20.31,-40.34,3
80,-32.59,-52.57,1
81,-23.86,-46.57,30
82,-15.65,-48.19,1
83,-19.93,-43.93,15
84,-22.33,-49.06,1
85,-19.94,-43.97,1
86,-23.97,-46.35,57
87,-30.34,-51.03,9
88,-29.45,-51.31,13
89,-23.46,-46.64,33
90,-30.21,-51.08,2
91,-15.82,-48.06,1
92,-15.57,-56.07,22
93,-15.37,-55.84,3
94,-2.67,-42.86,6
95,-23.54,-46.56,13
96,-7.95,-34.89,3
97,-15.42,-55.73,1
98,-16.63,-49.25,29
99,19.3,-99.19,2
100,-19.74,-45.26,1
