,0
1212049041921642496,"[-35.7339264, -9.6476843]"
1212015068193476608,"[-35.7339264, -9.6476843]"
1211814128676982785,"[-35.7339264, -9.6476843]"
1211765431222095873,"[-35.7339264, -9.6476843]"
1211755310165172225,"[-35.7339264, -9.6476843]"
1211724590516514817,"[-35.7339264, -9.6476843]"
1211334866039648257,"[-40.3064477, -20.1252961]"
1211315534714802176,"[-43.9450948, -19.9227318]"
1211281152859942912,"[-42.975194, -22.4164578]"
1211280773753581569,"[-43.4508728, -22.7592175]"
1211276927832592384,"[-72.5059982, -51.7262003]"
1211269865736146944,"[-67.8220778, -9.9765362]"
1211226848572649472,"[-46.5547861, -23.1177393]"
1211225350996398080,"[-46.5547861, -23.1177393]"
1211026077751152641,"[-51.1799525, -29.9216045]"
1211013052583333889,"[-38.5217989, -3.7304512]"
1210931553976631296,"[-43.4293599, -22.783092]"
1210918018932465665,"[-54.5858139, -25.5401479]"
1210609096900202500,"[-54.5858139, -25.5401479]"
1210592594587267079,"[-48.4875691, -27.1519159]"
1210581591216574464,"[-43.9450948, -19.9227318]"
1210262031502368769,"[-43.9450948, -19.9227318]"
1210221885721645057,"[-51.9382078, -23.425269]"
1209920622861651968,"[-54.5858139, -25.5401479]"
1209915139832586240,"[-43.9450948, -19.9227318]"
1209904768287756288,"[-44.0875436, -19.7672898]"
1209612566709837825,"[-51.3998026, -19.1832417]"
1209590922406694913,"[-44.2, -20.143611]"
1209573604830126082,"[-35.4213273, -5.6322641]"
1209543441618817024,"[-43.2093727, -22.9110137]"
1209535693749403648,"[-54.44111443902037, -25.69253235]"
1209522075519586304,"[-42.779943, -14.223066]"
1209070691481505792,"[-43.1154552, -22.8832371]"
1209069986024755200,"[-43.1154552, -22.8832371]"
1208504946678738945,"[-44.0840953, -19.9132749]"
1208454488136306689,"[-44.5633108, -22.4955278]"
1208360260857159680,"[-43.1785356, -22.5075743]"
1208147472717164544,"[-37.33638871309213, -5.1949173]"
1208034964996067328,"[-44.2448718, -2.5634605]"
1207978635824685056,"[-43.9450948, -19.9227318]"
1207732806111158272,"[-42.975194, -22.4164578]"
1207618115179339777,"[-53.2, -10.3333333]"
1192783636074029056,"[-100.86719560926427, 22.297055450000002]"
1192618850430472193,"[-43.2093727, -22.9110137]"
1192609844496412672,"[29.8870575, -3.3634357]"
1192560814026309642,"[-43.9450948, -19.9227318]"
1192207977308131333,"[-51.0261927, -30.0819338]"
1192185086592065536,"[-43.309929, -22.7896225]"
1191854282443767809,"[-53.2, -10.3333333]"
1191551337391104001,"[-43.4508728, -22.7592175]"
1191524714025508865,"[-46.6333824, -23.5506507]"
1191423987483590659,"[-42.975194, -22.4164578]"
1191323685338128386,"[-43.9450948, -19.9227318]"
1191125330280488960,"[-44.2448718, -2.5634605]"
1191073858880716801,"[-46.6333824, -23.5506507]"
1191037903239024647,"[-43.9450948, -19.9227318]"
1190803893258739713,"[-46.6333824, -23.5506507]"
1190688077494259715,"[-50.9356044, -28.5102901]"
1190669769948749824,"[-51.2303767, -30.0324999]"
1190664644203077633,"[-46.5547861, -23.1177393]"
1190660477384302593,"[-38.4812772, -12.9822499]"
1190659272201388034,"[-39.0453843, -14.792599]"
1190658107019550722,"[-46.6333824, -23.5506507]"
1190649361161687044,"[-38.3260762, -12.6998188]"
1190645438111768577,"[-34.8848193, -8.0584933]"
1190427032162885636,"[-47.64824178160604, -14.16212315]"
1190354759733133313,"[-43.2093727, -22.9110137]"
1190338737256972289,"[-43.2093727, -22.9110137]"
1190305457736470529,"[-43.253274, -2.4987599]"
1190264747784101889,"[-44.2448718, -2.5634605]"
1190229838503858176,"[-34.8848193, -8.0584933]"
1190077662057959424,"[-43.18737787017423, -22.9044623]"
1190076031509684229,"[-44.2448718, -2.5634605]"
1190050970488778753,"[-9.1365919, 38.7077507]"
1190013152966193152,"[-43.2093727, -22.9110137]"
