,lat,long,N
0,-24.1,-47.99,10
1,-15.85,-47.91,12
2,-22.91,-43.18,35
3,-19.35,-43.62,45
4,-22.48,-43.06,75
5,-22.82,-43.32,19
6,-20.43,-41.87,59
7,-22.97,-43.02,7
8,-9.65,-35.73,11
9,-16.39,-39.04,1
10,-4.84,-37.25,8
11,-22.95,-43.49,34
12,-16.72,-43.87,19
13,-10.55,-46.42,30
14,-15.85,-48.96,6
15,-18.59,-46.51,35
16,-20.2,-40.26,66
17,-23.43,-47.6,16
18,-20.05,-43.99,3
19,-18.22,-43.61,1
20,-19.9,-43.97,3
21,-23.41,-46.04,7
22,-19.92,-43.94,67
23,-10.78,-37.35,13
24,-22.36,-44.68,1
25,-2.5,-43.25,17
26,-15.46,-55.75,26
27,-22.43,-44.61,3
28,-7.01,-47.15,4
29,-23.7,-46.55,4
30,-22.96,-44.67,9
31,-22.5,-43.15,19
32,-25.55,-54.58,50
33,-20.41,-41.02,42
34,-22.48,-44.57,2
35,-20.13,-40.31,9
36,-19.92,-43.95,143
37,-29.31,-50.85,39
38,-22.42,-42.98,21
39,-22.76,-43.45,9
40,-7.21,-39.31,1
41,-19.79,-43.95,1
42,-9.98,-67.82,6
43,-23.12,-46.55,24
44,-22.59,-43.42,41
45,-16.72,-49.27,1
46,-22.96,-43.27,84
47,-16.7,-49.24,6
48,-22.41,-47.55,6
49,-29.92,-51.18,6
50,-25.25,-50.01,39
51,-3.73,-38.52,12
52,-23.97,-46.35,22
53,-2.5,-44.27,18
54,-19.78,-43.95,1
55,-24.06,-47.99,2
56,-23.22,-44.73,2
57,-15.18,-55.75,1
58,-22.78,-43.43,1
59,-25.54,-54.59,23
60,-28.3,-53.5,1
61,-8.74,-35.17,1
62,-20.33,-46.37,4
63,-23.5,-46.87,44
64,-22.99,-43.23,30
65,-27.15,-48.49,1
66,-25.61,-54.48,77
67,-23.43,-51.94,5
68,-29.92,-51.17,34
69,-27.24,-53.85,1
70,-19.77,-44.09,3
71,-23.46,-46.63,98
72,-22.41,-45.44,43
73,-25.47,-49.38,4
74,-20.65,-40.47,7
75,-19.18,-51.4,3
76,-20.14,-44.2,1
77,-15.74,-47.93,30
78,-15.8,-47.9,2
79,-5.63,-35.42,1
80,-22.91,-43.21,102
81,-19.71,-42.74,9
82,-25.69,-54.44,1
83,-14.22,-42.78,1
84,-9.39,-40.5,10
85,-20.6,-40.43,25
86,-2.8,-40.52,15
87,-22.88,-43.12,4
88,-23.55,-46.64,2
89,-21.72,-43.93,3
90,-29.2,-49.96,6
91,-20.25,-46.5,13
92,-19.92,-43.93,182
93,-22.87,-43.78,21
94,-22.97,-43.21,3
95,-25.68,-53.8,5
96,-19.91,-44.08,12
97,-22.5,-44.56,37
98,-22.51,-43.18,4
99,-13.41,-41.28,2
100,-5.19,-37.34,27
101,-2.56,-44.24,24
102,-12.62,-41.49,4
103,-25.45,-54.59,1
104,-10.33,-53.2,51
105,-9.62,-35.75,44
106,-22.9,-43.19,163
107,-22.33,-44.54,1
108,-22.43,-42.96,30
109,-14.18,-47.82,159
110,22.3,-100.87,1
111,-24.59,-48.59,2
112,-23.76,-46.67,1
113,-22.55,-43.06,1
114,-22.78,-43.46,18
115,-21.72,-43.92,66
116,-22.45,-42.99,7
117,-12.58,-38.01,13
118,-30.08,-51.03,1
119,-22.79,-43.31,5
120,-22.52,-52.16,75
121,-27.13,-48.52,2
122,-22.95,-43.3,1
123,-22.43,-44.62,55
124,-23.55,-46.63,55
125,-21.65,-41.75,4
126,-20.05,-44.0,35
127,-22.3,-42.54,2
128,-25.68,-54.44,9
129,-22.76,-44.3,1
130,-15.79,-48.06,25
131,-8.58,-36.83,2
132,-23.04,-46.98,18
133,-26.49,-49.05,8
134,-22.97,-47.0,1
135,-28.51,-50.94,1
136,-30.03,-51.23,20
137,-12.98,-38.48,6
138,-14.79,-39.05,1
139,-12.7,-38.33,3
140,-8.06,-34.88,7
141,-3.76,-38.49,10
142,-14.16,-47.65,6
143,-2.52,-44.24,1
144,-6.09,-35.19,4
145,-19.06,-40.15,3
146,-19.75,-43.95,1
147,-23.96,-48.02,2
148,-22.74,-43.71,3
149,-26.98,-48.65,1
150,-24.04,-52.39,1
151,-2.75,-42.83,26
152,-22.51,-42.28,1
153,-25.43,-49.27,23
154,-3.85,-32.42,7
155,-22.97,-43.24,18
156,-22.91,-43.58,7
157,41.34,69.29,1
158,-22.45,-44.61,1
159,-8.67,-42.55,21
160,-15.89,-52.26,1
161,-22.9,-43.45,1
162,-34.92,-57.95,1
163,-22.39,-44.54,1
164,-18.16,-53.41,1
165,-27.47,-48.49,5
166,-27.63,-48.67,1
167,-27.41,-49.76,2
168,-23.85,-46.47,3
169,-21.79,-46.59,9
170,-27.17,-51.51,2
171,-29.66,-53.81,12
172,-6.45,-35.67,9
173,-6.07,-49.9,2
174,-8.83,-42.54,2
175,-27.53,-48.43,10
176,-28.57,-50.62,1
177,-8.01,-34.95,2
178,-21.98,-44.6,9
179,-5.58,-36.95,5
180,-10.74,-36.86,2
181,-16.55,-49.16,3
182,-29.6,-52.2,1
183,-25.32,-49.29,5
184,-15.12,-44.32,3
185,-23.46,-46.76,23
186,-2.73,-42.83,22
187,-6.06,-49.92,5
188,-8.62,-37.15,32
189,-15.18,-44.22,2
190,-2.41,-54.72,3
191,-3.08,-60.01,2
192,-15.02,-44.05,2
193,-20.07,-43.98,1
194,-22.42,-43.25,2
195,-22.84,-43.5,4
196,-24.56,-48.67,40
197,-24.79,-50.01,2
198,-24.58,-50.25,5
199,-23.66,-46.53,4
200,-25.52,-54.56,3
201,-25.57,-54.56,14
202,-22.95,-43.38,5
203,-27.21,-49.65,7
204,-15.37,-47.45,6
205,-23.83,-45.39,1
206,-23.9,-46.47,8
207,-20.43,-41.96,18
208,-15.74,-47.92,6
209,-3.02,-59.94,3
210,-18.57,-53.13,16
211,-23.89,-46.42,3
212,-22.44,-42.98,1
213,-22.76,-47.27,1
214,-22.8,-43.37,2
215,0.04,-51.06,5
216,-21.84,-43.8,2
217,-12.65,-38.97,1
218,-14.07,-47.66,11
219,-16.87,-43.01,1
220,-10.18,-48.33,6
221,-19.97,-44.2,6
222,-11.54,-41.76,4
223,-28.46,-52.19,5
224,-22.29,-42.53,1
225,-28.13,-49.48,7
226,-19.65,-42.63,5
227,-19.99,-43.85,2
228,-12.53,-38.3,9
229,-19.76,-44.31,1
230,-22.37,-44.63,1
231,-15.56,-48.11,5
232,-23.98,-46.39,8
233,-20.63,-42.4,3
234,-21.72,-44.98,4
235,-30.35,-51.03,5
236,-25.51,-49.2,5
237,-24.27,-48.41,3
238,-22.96,-44.04,1
239,-27.23,-53.85,3
240,-10.4,-46.58,2
241,-28.14,-54.75,6
242,-22.46,-43.41,3
243,-29.64,-51.02,7
244,-23.03,-46.97,1
245,-2.49,-44.27,2
246,-19.97,-43.99,18
247,-19.89,-43.81,4
248,-22.96,-43.21,4
249,-8.06,-34.93,1
250,-20.45,-54.57,1
251,-20.38,-43.49,14
252,-29.39,-50.38,6
253,-20.44,-44.77,2
254,-18.12,-43.34,6
255,-22.53,-41.94,2
256,-22.98,-47.0,6
257,-4.15,-38.11,21
258,-8.78,-42.62,5
259,-15.8,-47.86,2
260,-23.19,-44.98,1
261,-2.0,-54.07,1
262,-22.21,-45.95,2
263,-8.5,-37.38,1
264,-23.4,-46.59,2
265,-10.18,-48.34,1
266,-29.66,-50.57,1
267,-22.6,-52.18,4
268,-12.26,-38.96,1
269,-19.33,-43.63,4
270,-18.46,-43.31,5
271,-13.63,-41.33,1
272,-3.85,-40.92,3
273,-21.84,-43.81,5
274,-22.36,-47.38,2
275,-20.67,-41.01,1
276,-19.56,-43.94,3
277,-4.16,-38.11,5
278,-22.39,-41.83,1
279,-21.76,-43.35,4
280,-29.05,-50.14,5
281,-2.5,-44.26,1
282,-5.82,-35.19,4
283,-23.0,-43.37,2
284,-22.68,-42.98,5
285,-22.46,-44.6,1
286,-28.2,-49.9,3
287,-22.97,-43.18,1
288,-1.83,-44.87,2
289,-11.0,-53.0,2
290,-22.91,-43.2,7
291,-22.21,-49.95,1
292,-0.0,-78.05,1
293,-3.77,-38.57,1
294,-22.42,-44.26,1
295,-29.91,-51.17,8
296,-22.89,-43.35,5
297,-15.27,-47.16,1
298,-22.76,-45.12,1
299,-21.71,-43.87,1
300,-22.37,-42.99,2
301,-2.45,-44.79,2
302,-29.95,-51.09,2
303,-23.8,-46.08,2
304,-25.14,-50.16,1
305,-23.0,-43.28,3
306,-33.43,-70.74,1
307,-15.62,-46.42,1
308,-16.8,-39.15,1
309,-25.47,-48.84,1
310,-25.6,-54.57,2
311,-28.29,-53.49,1
312,-20.32,-40.34,7
313,-22.87,-43.09,2
314,-19.96,-43.94,1
315,-23.59,-46.51,1
316,-3.74,-38.48,2
317,-22.97,-43.44,1
318,-25.14,-47.96,1
319,-23.34,-46.73,15
320,-28.29,-53.51,4
321,-24.58,-50.27,1
322,-22.52,-42.98,2
323,-22.66,-50.42,6
324,-6.07,-49.89,1
325,-22.25,-47.83,3
326,-29.03,-50.15,4
327,-22.45,-42.95,11
328,-27.73,-48.51,8
329,-20.39,-43.5,3
330,-2.43,-44.76,1
331,-1.43,-48.42,1
332,-18.87,-41.93,1
333,38.75,-9.2,1
334,-22.84,-43.55,3
335,-29.46,-51.2,1
336,-22.47,-43.05,1
337,-23.53,-47.14,1
338,-29.85,-51.14,4
339,-23.5,-46.75,1
340,-18.65,-48.19,1
341,-14.13,-47.51,1
342,-29.17,-51.52,1
343,-2.9,-40.45,5
344,-22.71,-44.63,4
345,-23.45,-46.6,1
346,-23.48,-46.76,1
347,-19.8,-43.96,3
348,-20.38,-41.03,3
349,-22.53,-41.95,1
350,-25.57,-54.58,1
351,-23.53,-46.69,2
352,-6.07,-49.88,1
353,-22.78,-43.48,6
354,-23.82,-45.37,5
355,-29.08,-49.99,1
356,-2.66,-42.86,19
357,-22.91,-43.69,55
358,-26.49,-49.08,1
359,-21.74,-43.41,1
360,-3.91,-38.39,3
361,-23.46,-46.64,2
362,-29.2,-49.95,4
