,0
814162374580142080,"[-54.5858139, -25.5401479]"
814145663999102976,"[-42.975194, -22.4164578]"
814131596760596480,"[-42.6534414, -22.4626861]"
814086991415562240,"[-43.0426162, -22.6604221]"
814027674880446464,"[-51.2303767, -30.0324999]"
813834114201747456,"[-54.5764199, -25.6107508]"
813832797362286592,"[-54.5858139, -25.5401479]"
813774999714754560,"[-54.5858139, -25.5401479]"
813774545278660608,"[-54.5858139, -25.5401479]"
813745506211885056,"[-41.003056, -16.433333]"
813322759170392064,"[-49.0658025, -26.9195567]"
812698377129488385,"[-43.2093727, -22.9110137]"
810276163390205952,"[-70.61133725589745, -33.4288379]"
810093926602407936,"[-52.235556, -1.7502089]"
810093107727437825,"[-52.235556, -1.7502089]"
809918091803049984,"[-70.3211394, -18.4785288]"
809198540920680448,"[-38.9598047, -12.2578934]"
784055768488275968,"[-43.2093727, -22.9110137]"
783699629837647872,"[-70.3028026, 19.0974031]"
783685485508124672,"[-53.2, -10.3333333]"
783295416620253184,"[-38.4812772, -12.9822499]"
782936547033317376,"[-38.4812772, -12.9822499]"
782605019723993088,"[-53.8083036, -25.6704878]"
782034780661637120,"[-71.3187697, -31.7613365]"
781913543822209026,"[-53.2, -10.3333333]"
781257047853637632,"[-53.2, -10.3333333]"
780601391450554368,"[-66.1109318, 8.0018709]"
780598095264505856,"[-66.1109318, 8.0018709]"
779492355254710272,"[-46.6333824, -23.5506507]"
779278613908783104,"[-54.5858139, -25.5401479]"
778697590283997186,"[-87.9036047, 30.6035255]"
778438941712064512,"[-37.0774655, -10.9162061]"
778000327454908416,"[-72.2610066, -38.6678955]"
777451319502209025,"[-43.2093727, -22.9110137]"
776972828658761728,"[-42.809588, -5.0896403]"
776768744139923456,"[-53.2, -10.3333333]"
776445767368187905,"[-44.5633108, -22.4955278]"
775786225068310528,"[-46.333889, -23.960833]"
775725931658903552,"[-51.2303767, -30.0324999]"
774224198554226689,"[-53.2, -10.3333333]"
773846556516679681,"[-44.5633108, -22.4955278]"
773187787789139969,"[-66.1109318, 8.0018709]"
773179671873777665,"[-40.3376682, -20.3200917]"
773134764287090688,"[-46.7269894, -23.625687]"
773132282240569344,"[-49.2712724, -25.4295963]"
772950406716620800,"[-80.5669167, -2.1954593]"
772857152151101440,"[-48.4682453, -1.45056]"
772555015168950272,"[-42.809588, -5.0896403]"
771730003633565696,"[-43.2093727, -22.9110137]"
771696141238935552,"[-43.2093727, -22.9110137]"
770637230402572289,"[-49.2532691, -16.680882]"
770578899554172928,"[-43.2093727, -22.9110137]"
770374316777205764,"[-48.5496098, -27.5973002]"
770272156634738688,"[-38.4812772, -12.9822499]"
770018210510958592,"[-42.809588, -5.0896403]"
769156074700169216,"[-48.00405481528203, -15.63299905]"
768113815099678724,"[-53.2, -10.3333333]"
768103977833684996,"[-43.2093727, -22.9110137]"
767936424364630018,"[-42.975194, -22.4164578]"
767723499133755392,"[-46.6333824, -23.5506507]"
767533563550003204,"[-42.809588, -5.0896403]"
767515582841417728,"[-38.5217989, -3.7304512]"
767514719750090756,"[-48.8486726, -26.3044898]"
767514604658364417,"[-46.6333824, -23.5506507]"
767514273333518336,"[-49.4876203, -16.6549924]"
767399874207870976,"[-53.2, -10.3333333]"
767175614222700544,"[-53.2, -10.3333333]"
767155835986468864,"[-64.9672817, -34.9964963]"
767059805152305153,"[-43.2093727, -22.9110137]"
766669462196150274,"[-53.2, -10.3333333]"
766558950082961408,"[-43.2093727, -22.9110137]"
766416786812243970,"[-43.2093727, -22.9110137]"
766377219300200455,"[-53.2, -10.3333333]"
766331202013978624,"[-71.3187697, -31.7613365]"
765801467500453888,"[12.5700724, 55.6867243]"
764429279501352960,"[-50.145412, -29.0489517]"
764281963016486913,"[-44.4463494, -22.4683626]"
764169432604221441,"[-51.2303767, -30.0324999]"
763516012318842881,"[-9.1365919, 38.7077507]"
763501876268654592,"[-9.1365919, 38.7077507]"
763469995624005632,"[-8.6058415, 41.1300103]"
763428794577326080,"[-48.5496098, -27.5973002]"
763163385676566529,"[-53.2, -10.3333333]"
763154111030231040,"[-9.396909171649877, 38.72240025]"
763125200036720643,"[-42.975194, -22.4164578]"
763033528669962240,"[-49.5109023, -23.390039]"
762941249204674560,"[-84.0739102, 10.2735633]"
762722340623056896,"[-53.2, -10.3333333]"
762642367258226688,"[-53.2, -10.3333333]"
762231359859519491,"[-48.5496098, -27.5973002]"
761767153892728832,"[-42.3428897, -22.8733203]"
761302405027864576,"[-53.2, -10.3333333]"
760970982278336513,"[-47.64824178160604, -14.16212315]"
760401894699249664,"[17.3231107, -23.2335499]"
760312693135908864,"[-53.2, -10.3333333]"
759797340819460096,"[-44.5805246, -22.6452376]"
759714690108837888,"[-69.9609842, 12.4902998]"
759410969445621760,"[-43.2093727, -22.9110137]"
808397756679290880,"[-4.4216366, 36.7213028]"
807338557404651520,"[-54.5764199, -25.6107508]"
807016010452705281,"[-85.36610939008591, 10.4313298]"
806856821726134272,"[-43.2093727, -22.9110137]"
806307868379148288,"[-43.309929, -22.7896225]"
758722216855044097,"[-34.8848193, -8.0584933]"
758720391829417984,"[-34.8848193, -8.0584933]"
758699104641937408,"[-46.6333824, -23.5506507]"
758425819278614532,"[-37.796927, -5.6631109]"
758370319233126401,"[-53.2, -10.3333333]"
757762130514944000,"[-43.2093727, -22.9110137]"
757683476795682816,"[-54.5858139, -25.5401479]"
757067263002415104,"[-43.4033603, -22.7667284]"
756541157597966338,"[-40.9185642, -3.8534468]"
756070629439397888,"[-53.2, -10.3333333]"
755566400526319616,"[-54.5858139, -25.5401479]"
755553669286879232,"[-54.5858139, -25.5401479]"
755546449849544704,"[-59.9825041, -3.1316333]"
755104632632926208,"[-53.2, -10.3333333]"
754809266867990528,"[-49.1162001, -15.3118269]"
754111823486607360,"[-49.8903283, -6.0696846]"
753758173522173952,"[-49.8903283, -6.0696846]"
753714880545304576,"[-41.7150099, -3.9304804]"
753308752896462849,"[-59.9825041, -3.1316333]"
753308126561132544,"[-59.9825041, -3.1316333]"
753307106468622336,"[-59.9825041, -3.1316333]"
752886087425593344,"[-54.5858139, -25.5401479]"
752884523097096192,"[-54.5858139, -25.5401479]"
752698088570052608,"[-46.6333824, -23.5506507]"
752638805836836865,"[-64.183319, -31.4173391]"
751834311217844224,"[-53.2, -10.3333333]"
751019627887652864,"[-9.1365919, 38.7077507]"
750823596700884994,"[-8.3170764, 43.3330642]"
750123757646274564,"[-53.2, -10.3333333]"
