,lat,long,N
229,-15.59,-56.08,2
230,-20.02,-48.92,2
231,-19.76,-55.0,1
232,-20.39,-41.03,124
233,-22.97,-43.25,34
234,-6.81,-35.08,1
235,-7.06,-34.85,17
236,-18.58,-46.5,23
237,-23.88,-48.0,14
238,-35.04,-63.01,10
239,38.27,-0.7,24
240,-19.65,-42.63,2
241,-22.95,-43.49,3
242,-23.45,-47.74,1
243,-23.69,-46.54,1
244,19.22,-70.82,1
245,-26.1,-50.32,1
246,-22.86,-41.99,1
247,-19.46,-42.55,4
248,-27.89,-53.3,8
249,-22.86,-48.44,2
250,10.17,118.92,1
251,-15.57,-56.06,3
252,-8.28,-35.94,10
253,-20.76,-41.53,8
254,-16.71,-43.94,1
255,10.49,-66.88,1
256,-19.8,-43.96,2
257,-21.87,-43.32,2
258,8.07,-81.36,3
259,-22.93,-43.34,2
260,-18.23,-43.61,10
261,3.93,-77.35,8
262,-19.59,-65.75,1
263,-23.41,-46.89,1
264,-23.72,-46.04,17
265,-25.45,-49.38,8
266,-23.57,-46.78,24
267,-23.59,-46.69,1
268,-9.76,-77.44,3
269,-23.5,-46.62,1
270,-20.34,-46.42,5
271,-14.13,-47.52,10
272,-19.17,-41.47,1
273,-18.08,-52.92,1
274,37.21,-7.4,4
275,11.28,-73.91,2
276,-7.24,-47.14,1
277,-17.56,-52.53,11
278,-2.8,-40.5,5
279,-15.63,-56.06,1
280,-29.35,-49.73,32
281,-12.56,-41.39,1
282,-23.59,-45.44,2
283,-26.92,-48.64,4
284,-6.06,-49.92,3
285,-22.5,-43.0,1
286,-15.6,-47.68,3
287,-2.5,-43.25,30
288,-27.03,-49.38,3
289,-23.53,-46.22,1
290,-20.52,-41.91,8
291,-20.35,-46.64,2
292,-31.75,-52.35,1
293,-32.62,-70.72,2
294,-21.84,-43.81,5
295,-24.52,-48.11,2
296,-20.01,-44.0,1
297,-19.86,-43.97,2
298,-33.98,-53.54,9
299,-22.25,-43.7,1
300,-26.11,-56.96,3
301,-3.08,-60.0,5
302,-3.08,-60.01,11
303,-19.89,-44.0,26
304,-29.27,-50.32,2
305,-20.03,-48.93,2
306,-38.22,-72.34,4
307,6.01,-73.67,1
308,-2.9,-79.01,2
309,-29.68,-52.78,22
310,35.68,-83.53,2
311,-22.93,-43.18,1
312,-23.07,-43.56,1
313,-6.44,-35.65,3
314,-22.42,-47.58,2
315,-23.33,-46.68,12
316,10.46,-66.85,1
317,18.03,-95.53,1
318,-19.94,-43.92,9
319,51.17,-115.55,2
320,51.13,-114.01,1
321,-14.14,-47.51,6
322,-14.14,-47.52,2
323,-18.12,-43.34,8
324,-33.9,-60.56,5
325,-22.92,-46.54,1
326,37.67,-112.16,1
327,-22.91,-43.18,2
328,-3.93,-41.71,5
329,-2.8,-40.52,4
330,-26.92,-49.25,2
331,-19.94,-40.41,1
332,-19.9,-43.93,8
333,-27.48,-49.57,46
334,-22.63,-43.26,8
335,-20.66,-40.47,2
336,-16.68,-49.26,3
337,-23.03,-45.58,2
338,-24.07,-48.38,1
339,-23.33,-46.72,4
340,-23.05,-46.98,8
341,-15.79,-48.06,22
342,-8.02,-34.94,12
343,-19.98,-43.94,1
344,-30.86,-53.09,9
345,-23.98,-46.37,1
346,-21.72,-47.6,2
347,-23.46,-46.64,28
348,19.3,-99.25,2
349,-25.08,-50.15,5
350,-3.03,-59.98,17
351,-1.28,29.33,1
352,-26.24,-52.68,1
353,-22.91,-43.38,1
354,-22.89,-43.44,8
355,-22.87,-41.99,1
356,-26.92,-48.65,19
357,-28.3,-53.5,1
358,-22.91,-43.54,1
359,41.01,-8.64,3
360,-29.36,-49.74,1
361,-7.03,-34.84,1
362,-20.41,-43.51,21
363,-29.49,-51.36,13
364,-23.87,-52.88,1
365,-20.45,-41.78,2
366,-14.16,-47.84,2
367,-25.62,-54.48,146
368,-33.9,-60.58,6
369,-25.58,-54.52,13
370,-23.33,-46.69,3
371,-20.45,-54.56,2
372,-28.02,-54.94,3
373,-22.4,-43.13,34
374,-20.46,-43.87,1
375,-30.35,-51.03,11
376,-15.81,-48.84,3
377,-2.56,-44.05,1
378,-21.6,-44.1,3
379,-22.98,-43.2,2
380,-8.07,-39.12,2
381,-34.27,-62.7,6
382,-16.63,-49.25,19
383,-20.41,-41.02,1
384,-22.99,-43.22,13
385,-29.13,-50.1,1
386,-19.95,-43.9,2
387,19.04,-98.12,1
388,-3.84,-38.56,1
389,-8.76,-35.1,1
390,-28.07,-52.02,8
391,-23.64,-46.67,13
392,-22.95,-43.23,2
393,-18.85,-41.93,3
394,-28.53,-49.33,9
395,-22.77,-43.45,1
396,-9.07,-68.66,1
397,-13.52,-71.98,1
398,-29.55,-51.43,2
399,4.62,-74.07,16
400,-23.7,-46.55,1
401,-23.39,-47.48,2
402,-22.82,-43.43,7
403,-22.97,-43.27,1
404,4.54,-75.77,3
405,-22.83,-43.36,1
406,46.75,-122.12,2
407,-23.63,-46.6,7
408,46.76,-122.12,1
409,-27.59,-48.54,2
410,47.47,-122.27,1
411,-27.46,-51.91,3
412,-20.43,-43.51,1
413,-20.65,-40.48,18
414,12.76,-85.85,1
415,-3.85,-32.41,1
416,-22.48,-43.06,15
417,-19.87,-43.97,4
418,-8.07,-34.88,1
419,-29.34,-49.73,6
420,-23.61,-46.61,1
421,-2.75,-42.82,1
422,7.43,-81.77,1
423,-17.32,-53.22,2
424,-25.22,-50.04,7
425,40.93,-8.25,5
426,-23.77,-46.51,1
427,-22.89,-48.45,3
428,-23.48,-46.75,7
429,-22.88,-43.78,2
430,41.7,-8.17,1
431,-14.07,-47.66,5
432,-19.93,-44.05,3
433,-27.55,-48.5,1
434,-25.67,-54.45,7
435,-20.06,-44.03,2
436,-29.45,-51.99,3
437,40.49,-3.69,1
438,37.75,-119.59,1
439,-20.54,-41.82,2
440,-24.27,-48.41,2
441,-19.94,-43.95,2
442,-16.69,-43.86,3
443,-18.22,-43.61,6
444,40.49,-121.5,1
445,-22.88,-42.02,3
446,-22.92,-43.53,1
447,-19.9,-43.95,4
448,-27.21,-49.65,12
449,53.46,-113.57,1
450,-22.87,-43.31,2
451,-32.79,-71.19,1
452,-54.81,-68.32,6
453,10.5,-66.83,2
454,-34.76,-58.41,1
455,-22.28,-44.87,2
456,-34.8,-58.44,1
457,41.69,-8.2,1
458,-22.41,-43.01,1
459,-25.55,-54.57,1
460,-15.46,-55.75,16
461,-24.57,-50.27,1
462,41.72,-8.15,6
463,-3.05,-60.05,10
464,39.15,2.93,2
465,39.7,-8.79,1
466,10.54,-83.5,1
467,3.45,-76.48,1
468,-19.52,-43.75,1
469,9.16,-83.75,2
470,-19.07,-43.55,1
471,-23.12,-46.54,13
472,-22.24,-43.7,5
473,-5.18,-37.33,2
474,3.37,-76.54,1
475,-11.87,-52.9,6
476,-24.49,-47.84,2
477,-22.97,-43.03,10
478,-15.44,-55.77,2
479,-19.89,-43.92,2
480,-2.49,-44.29,2
481,11.25,-74.12,2
482,-7.08,-41.47,1
483,42.23,-8.9,1
484,-22.74,-43.31,1
485,41.73,-8.16,2
486,-21.95,-42.01,14
487,-20.22,-40.28,1
488,-5.06,-42.8,1
489,-2.57,-42.98,1
490,-16.74,-43.88,2
491,-21.96,-44.61,3
492,-35.98,-62.73,4
493,-21.5,-41.08,1
494,-19.9,-43.97,7
495,-23.65,-46.63,1
496,-19.96,-43.91,14
497,-6.45,-35.67,1
498,-22.58,-43.3,1
499,-16.74,-43.89,16
500,-23.4,-46.53,3
501,-34.0,-53.55,2
502,-25.87,-50.39,1
503,-6.46,-35.67,1
504,-23.45,-46.57,1
505,-18.83,-48.17,2
506,42.44,-8.65,1
507,-26.74,-49.18,1
508,-15.44,-55.79,1
509,-22.16,-42.41,1
510,-24.04,-48.0,2
511,-25.6,-54.55,3
512,-22.46,-44.61,4
513,-28.03,-49.62,1
514,-34.38,-53.84,3
515,-25.54,-54.58,8
516,-22.92,-43.17,1
517,-27.47,-51.9,1
518,-27.5,-51.95,1
519,-10.65,-51.57,1
520,51.82,-3.37,1
521,-20.35,-40.33,2
522,-42.46,-73.8,8
523,-22.41,-42.97,1
524,-12.0,-54.0,1
525,-20.35,-40.41,1
526,-31.63,-71.16,1
527,-5.89,-35.21,12
528,-22.89,-43.23,2
529,42.03,-8.16,10
530,-22.87,-43.34,2
531,-28.53,-49.32,3
532,-9.67,-35.73,1
533,-25.35,-51.47,3
534,12.11,-86.29,2
535,-16.74,-43.87,4
536,-22.33,-44.58,6
537,-25.15,-53.85,2
538,43.39,-8.34,1
539,-20.65,-41.91,2
540,10.34,-68.74,9
541,-15.72,-47.91,1
542,-26.93,-49.25,3
543,-22.91,-43.22,1
544,-22.45,-44.61,1
545,-22.11,-45.05,11
546,-22.85,-43.54,4
547,14.54,-88.71,1
548,-20.69,-41.85,2
549,43.13,19.02,1
550,-27.6,-48.5,1
551,4.6,-61.11,1
552,-3.77,-40.9,1
553,-22.95,-43.28,4
554,-29.63,-52.19,4
555,20.51,-86.95,1
556,-22.98,-43.24,1
557,-20.31,-40.34,4
558,-1.45,-48.5,1
559,-22.99,-43.28,3
560,-2.78,111.72,1
561,-23.42,-46.02,1
562,-15.83,-47.91,3
563,-22.46,-44.59,41
564,-22.84,-43.5,1
565,-35.01,-63.0,1
566,-22.5,-44.12,1
567,-23.02,-45.59,1
568,-23.42,-46.86,2
569,-22.51,-43.18,7
