,lat,long,N
0,-4.84,-37.25,6
1,-22.45,-42.98,36
2,-22.41,-42.97,3
3,-2.75,-42.83,139
4,-22.49,-44.55,2
5,-3.84,-40.9,19
6,-22.45,-42.99,75
7,-15.45,-55.75,1
8,-22.48,-44.55,1
9,-25.61,-54.48,377
10,-22.98,-43.3,12
11,-11.55,-41.16,103
12,-4.15,-38.11,16
13,-23.02,-43.47,4
14,-14.17,-47.82,22
15,-22.39,-43.13,1
16,19.16,-99.76,1
17,-15.37,-55.85,3
18,-22.46,-44.6,15
19,-14.18,-47.82,3
20,-22.4,-42.95,2
21,-18.42,-43.49,1
22,-22.94,-43.18,7
23,-22.96,-43.27,232
24,-2.8,-40.52,43
25,-15.74,-47.92,123
26,-23.26,-47.3,1
27,-22.43,-42.97,1
28,-22.4,-42.98,1
29,-25.55,-54.57,31
30,-22.41,-42.96,1
31,-17.76,-50.9,1
32,-25.9,-57.12,1
33,-15.44,-55.82,2
34,-25.16,-53.87,1
35,-29.05,-50.14,22
36,-5.05,-42.84,1
37,-2.67,-42.85,25
38,-7.22,-39.44,4
39,42.16,-71.52,1
40,-50.34,-72.27,1
41,-6.06,-49.92,9
42,-23.54,-51.46,5
43,-23.62,-52.09,2
44,-20.6,-46.1,1
45,-22.49,-43.0,1
46,-5.79,-35.19,1
47,-22.64,-43.27,1
48,-22.44,-42.98,1
49,-22.75,-43.31,1
50,-20.23,-70.14,1
51,-24.97,-53.47,1
52,-7.24,-39.42,2
53,-4.16,-38.11,48
54,-19.87,-43.97,4
55,-22.43,-43.16,27
56,-7.01,-42.12,3
57,-22.99,-43.3,12
58,-19.92,-43.99,1
59,-22.94,-43.59,1
60,-21.37,-42.72,1
61,-23.49,-46.62,1
62,-22.97,-43.23,5
63,-5.82,-35.2,1
64,-2.81,-40.43,1
65,-22.98,-43.28,1
66,-7.06,-34.85,10
67,-16.64,-48.65,1
68,-20.18,-48.68,1
69,-27.0,-48.64,2
70,-11.42,-40.59,3
71,-22.42,-43.16,1
72,-23.48,-47.42,1
73,-26.14,-70.64,1
74,-15.36,-55.85,5
75,-14.07,-47.66,3
76,-25.59,-54.58,1
77,-7.03,-37.28,6
78,-23.59,-46.61,4
79,-20.25,-46.37,4
80,-54.81,-68.31,1
81,-22.42,-42.98,3
82,-32.97,-54.02,1
83,-22.25,-41.59,1
84,-25.68,-54.44,15
85,-22.46,-44.59,5
86,-22.49,-44.57,2
87,-5.59,-36.94,1
88,-41.13,-71.32,3
89,-41.23,-71.77,1
90,-39.35,-71.97,2
91,-42.62,-74.11,3
92,-41.35,-71.52,1
93,-20.71,-46.6,1
94,-22.46,-42.99,3
95,-22.4,-44.94,1
96,18.47,-66.12,2
97,-22.76,-43.42,3
98,-15.41,-55.83,40
99,39.82,-5.94,1
100,-27.47,-48.49,1
101,-6.06,-49.91,2
102,-23.47,-46.63,10
103,-2.91,-41.75,3
104,-22.45,-44.6,3
105,-11.43,-40.6,2
106,26.02,-111.34,1
107,38.75,-9.1,2
108,-22.95,-43.21,21
109,-36.79,-73.02,1
110,-23.43,-47.6,10
111,-25.68,-54.45,1
112,-22.92,-42.04,2
113,-22.98,-42.03,2
114,-22.35,-44.82,3
115,-32.55,-52.56,3
116,-8.86,-42.69,1
117,-16.29,-63.59,1
118,-22.5,-44.57,3
119,-20.65,-40.48,1
120,-22.52,-42.98,1
121,-33.7,-70.33,1
122,-3.91,-40.39,1
123,-5.08,-42.78,1
124,-22.5,-44.13,2
125,-42.48,-73.76,1
126,-8.98,-42.67,12
127,-3.91,-41.71,2
128,-23.01,-43.47,1
129,-25.55,-54.56,1
130,-21.79,-43.36,1
131,-4.23,-38.92,15
132,0.04,-51.06,8
133,-22.99,-43.2,5
134,-19.62,-42.79,5
135,0.03,-51.05,1
136,-15.73,-47.91,1
137,23.66,-109.67,1
138,43.55,-7.16,2
139,-20.76,-41.54,5
140,-15.8,-47.87,2
141,-2.57,-44.2,2
142,-29.35,-50.8,1
143,-31.85,-58.32,1
144,-23.02,-43.45,1
145,41.76,-8.19,1
146,0.04,-51.05,1
147,-3.09,-59.93,1
148,-22.46,-44.61,2
149,42.66,-0.08,1
150,-54.83,-68.4,1
151,-15.82,-48.1,1
152,39.83,-6.08,1
153,-14.16,-47.85,6
154,-28.26,-52.4,1
155,-19.8,-43.95,1
156,-22.43,-42.98,1
157,-29.07,-50.01,4
158,-23.01,-43.3,1
159,-16.62,-49.3,1
160,-32.58,-52.56,4
161,-30.03,-51.23,3
162,-15.6,-47.61,2
163,-27.46,-48.49,1
164,-18.21,-45.24,2
165,-21.37,-41.1,1
166,0.05,-51.06,1
167,-8.83,-42.55,3
168,-18.94,-48.29,1
169,-4.1,-41.7,4
170,19.28,-99.18,1
171,-21.23,-43.79,1
172,-22.85,-43.24,1
173,-15.74,-47.93,1
174,-25.67,-54.44,1
175,-22.46,-44.58,8
176,-31.29,-51.08,1
177,-9.02,-42.69,3
178,-9.0,-42.69,7
179,-20.41,-41.84,1
180,-54.83,-68.41,1
181,-22.51,-44.68,1
182,-22.39,-42.95,1
183,14.58,-88.6,1
184,-23.09,-45.71,1
185,42.59,-0.53,1
186,-5.79,-35.2,1
187,-22.94,-43.34,1
188,-9.03,-35.22,1
189,-23.58,-51.43,1
190,-23.57,-51.43,7
191,-19.63,-40.97,1
192,-19.93,-43.95,2
193,-14.17,-47.85,1
194,-29.39,-50.38,1
195,-25.57,-54.56,3
196,41.95,-8.34,1
197,4.6,-61.11,1
198,-22.46,-44.44,2
199,-2.66,-42.87,1
200,-1.42,-48.44,1
201,-23.02,-47.13,1
202,-25.69,-54.44,30
203,-22.95,-42.7,4
204,-2.92,-41.74,1
205,-28.41,-54.95,1
206,-21.13,-42.38,3
207,-23.58,-51.44,5
208,-15.11,-43.79,1
209,-23.22,-44.72,2
210,-22.94,-43.19,1
211,-22.74,-41.88,1
212,-5.7,-35.21,3
213,-25.13,-53.83,1
214,-22.94,-43.21,1
215,-19.85,-44.03,1
216,25.78,-80.27,2
217,-22.47,-44.58,16
218,-41.45,-73.01,2
219,-9.39,-40.52,1
220,-32.55,-52.55,4
221,-23.53,-46.63,2
222,-23.44,-47.56,1
223,-18.93,-48.28,3
224,-25.38,-51.45,1
225,-25.42,-49.25,1
226,-18.93,-48.29,1
227,-27.48,-49.58,3
228,-25.24,-53.98,3
229,-8.75,-63.88,1
230,-19.92,-43.92,1
231,-23.55,-46.65,1
232,-5.07,-42.79,1
233,-23.43,-46.48,1
234,-7.25,-39.44,2
235,-2.56,-44.2,1
236,-15.63,-56.01,1
237,-23.53,-46.7,1
238,-7.21,-39.44,15
239,-15.84,-47.9,1
240,-22.44,-42.99,1
241,-5.69,-35.21,1
242,-23.47,-46.85,2
243,-7.22,-37.25,8
244,-20.76,-42.88,1
245,-25.61,-54.56,3
246,-22.69,-42.95,1
247,-19.97,-40.14,1
248,-25.53,-54.57,1
249,-39.27,-71.98,1
250,-23.35,-47.52,1
251,-23.6,-46.71,1
252,-23.58,-46.68,1
253,39.85,-6.03,3
254,-41.13,-71.31,1
255,-15.35,-55.86,4
256,59.16,18.27,1
