,0
1344718972739006467,"[-39.0453843, -14.792599]"
1343604447176519680,"[-7.8896263, 40.0332629]"
1343571115629830145,"[-46.5322504, -23.6573395]"
1343224531780067330,"[-51.2303767, -30.0324999]"
1342617784107343874,"[-43.2093727, -22.9110137]"
1342507622944092161,"[-54.699611, -2.438489]"
1342183512120696832,"[-47.267105, -22.8217964]"
1341937405209796609,"[-72.3959849, 5.3428475]"
1341892945214058498,"[-53.2, -10.3333333]"
1341734856800276480,"[-45.3930262, -5.2085503]"
1341581888876634112,"[-46.6333824, -23.5506507]"
1341149317080502273,"[-53.2, -10.3333333]"
1341142106992209921,"[-48.4682453, -1.45056]"
1340261447247536129,"[-51.1799525, -29.9216045]"
1339675880063438854,"[-34.882028, -7.1215981]"
1339661014900551680,"[-37.37617649955683, -8.49952455]"
1339353853557354503,"[-42.8259693, -2.7541271]"
1339300529390891015,"[-49.3695627, -28.6789941]"
1339001120769921024,"[-43.0426162, -22.6604221]"
1338876004417363975,"[-46.5418586, -22.9520235]"
1338771500359356416,"[-51.1799525, -29.9216045]"
1338552731062030337,"[-44.2448718, -2.5634605]"
1338179651374604288,"[-60.6719582, 2.8208478]"
1338078967975337984,"[-48.4682453, -1.45056]"
1338058798829801475,"[-7.8896263, 40.0332629]"
1337448837447880705,"[-48.6276491, -27.6157733]"
1337433070279008256,"[-47.936666, -19.750833]"
1337427588202061824,"[-44.1040128, -22.5225497]"
1337053242539302917,"[-42.6436108, -19.5771395]"
1335944158327017472,"[-46.5547861, -23.1177393]"
1311515477236121600,"[-40.8414804, -14.8567487]"
1311369266135007234,"[-43.2093727, -22.9110137]"
1311349535441027074,"[-43.2093727, -22.9110137]"
1311300378605096960,"[-43.445060246690545, -22.564382350000002]"
1311075535418781696,"[-43.9450948, -19.9227318]"
1311037159646920708,"[-46.6333824, -23.5506507]"
1310986640114974723,"[-47.4574439, -23.5007185]"
1310969927231254529,"[-73.1918864, 45.5623512]"
1310962391497220102,"[-43.9450948, -19.9227318]"
1310726792542654467,"[-54.812208, -22.2206145]"
1310719590050209793,"[-55.9878139, -4.2625218]"
1310682840661712897,"[-25.787516293472457, 37.85882225]"
1310422549784924165,"[-46.6333824, -23.5506507]"
1310387713569419264,"[-53.2, -10.3333333]"
1310371925181501440,"[-38.5217989, -3.7304512]"
1310338746240335874,"[-43.4033603, -22.7667284]"
1310254877340315651,"[-40.1544913, -4.3336553]"
1310243501523824642,"[-67.8220778, -9.9765362]"
1309907075695345665,"[-54.699611, -2.438489]"
1309854229817970688,"[-8.5326269, 41.1398199]"
1309680730121940994,"[-53.2, -10.3333333]"
1309640208854515712,"[-0.3763353, 39.4697065]"
1309558542299529220,"[-51.9917068, -29.5139742]"
1309544609052340224,"[-54.5858139, -25.5401479]"
1309532395843002371,"[-56.0991301, -15.5986686]"
1309525740979998722,"[-38.919766, -5.3046404]"
1309496540432658433,"[-55.9878139, -4.2625218]"
1309358399868542976,"[-47.06083, -22.90556]"
1308578065841303557,"[42.8453061, 11.8145966]"
1308532032759312390,"[-53.2, -10.3333333]"
1308512078702022656,"[-34.8459552, -7.9986401]"
1308391975624867840,"[2.3514616, 48.8566969]"
1308314027530104832,"[-46.6333824, -23.5506507]"
1308068443304984580,"[-53.2, -10.3333333]"
1307858957441134593,"[-50.325883, -27.8165664]"
1307735018094104577,"[-86.0755145, 15.2572432]"
1307458777906634754,"[-55.9878139, -4.2625218]"
1307130393095798784,"[-47.7797924, -20.3366604]"
1306728261536415746,"[-49.0705863, -22.3218102]"
1306709997980651526,"[-49.0170101, -17.3020379]"
1306596888305700864,"[-43.2093727, -22.9110137]"
1306595636062584832,"[-43.4311836, -22.9711394]"
1306399542477238273,"[-48.4682453, -1.45056]"
1306275662202892288,"[-43.5036344, -20.3851692]"
1306085614945800192,"[-34.882028, -7.1215981]"
1306034657943785473,"[-46.6333824, -23.5506507]"
1306025699057307650,"[-41.9080693, -20.6494192]"
1305665131590889472,"[134.755, -24.7761086]"
1305663990278823937,"[-38.5217989, -3.7304512]"
1305308312825720834,"[-51.9382078, -23.425269]"
1305133931507974146,"[-43.2093727, -22.9110137]"
1305133435762155521,"[-43.2093727, -22.9110137]"
1305132505712926721,"[-43.2093727, -22.9110137]"
1305088906128433152,"[-72.2720843, -50.3388712]"
1304948854039740416,"[-46.6333824, -23.5506507]"
1304945997144035328,"[-43.9450948, -19.9227318]"
1304878634898010122,"[-8.3170764, 43.3330642]"
1304164965025226752,"[-55.9878139, -4.2625218]"
1304100429727502338,"[-41.0487079, -21.6348588]"
1304092210191831040,"[-54.6162947, -20.4640173]"
1304030049641926656,"[-55.9878139, -4.2625218]"
1303782226140770304,"[-8.5585061, 41.3363471]"
1303535042631696384,"[-54.9640262, -20.9361042]"
1303534959915868161,"[-54.9640262, -20.9361042]"
1303534865145622531,"[-54.9640262, -20.9361042]"
1303534539667632128,"[-54.9640262, -20.9361042]"
1303533719609913351,"[-54.9640262, -20.9361042]"
1303533493071343616,"[-54.9640262, -20.9361042]"
1303532886994366471,"[-54.9640262, -20.9361042]"
1303532141754671104,"[-54.9640262, -20.9361042]"
1303531701763796993,"[-54.9640262, -20.9361042]"
1303531181250621440,"[-43.2093727, -22.9110137]"
1303530647642923009,"[-54.9640262, -20.9361042]"
1303354381857939458,"[-35.9531053, -6.4908706]"
1302779862432788481,"[-59.9825041, -3.1316333]"
1302313955470315522,"[-55.4185904, -7.0374884]"
1301840882132451329,"[-51.2303767, -30.0324999]"
1301836739586256896,"[-43.2093727, -22.9110137]"
1301521256001527819,"[-46.6333824, -23.5506507]"
1301504038249418752,"[-1.1664716608886017, 53.9318994]"
1301320425746690049,"[-53.2, -10.3333333]"
1301212938448048131,"[-43.1785356, -22.5075743]"
1301145578395635712,"[-47.401766, -22.5615068]"
1300982532893216768,"[-43.2093727, -22.9110137]"
1300893769395560453,"[-54.699611, -2.438489]"
1300617949422718982,"[-40.416549, -20.263202]"
1300581318846279683,"[-46.333889, -23.960833]"
1300228164476719105,"[-51.2303767, -30.0324999]"
1300214997943975936,"[-48.3336423, -10.1837852]"
1300176911793090563,"[-45.4340674, -21.5565914]"
1300131338427740160,"[-48.3336423, -10.1837852]"
1299999746438901760,"[-38.5217989, -3.7304512]"
1299790703481040896,"[-39.3036427, -7.3121067]"
1299746873931071489,"[-60.9434406, -2.6260236]"
1299706362855862272,"[-43.2093727, -22.9110137]"
1299487116410449920,"[-54.5858139, -25.5401479]"
1299423798362595336,"[-43.2093727, -22.9110137]"
1299121661980139530,"[-43.9450948, -19.9227318]"
1299121660117868546,"[-43.9450948, -19.9227318]"
1298801538572447745,"[-48.3336423, -10.1837852]"
1298591319506518016,"[-46.5547861, -23.1177393]"
1298349968055570435,"[-53.2, -10.3333333]"
1298102561241735169,"[-66.9146017, 10.506098]"
1297962825487396865,"[-70.3980033, -23.6463741]"
1297666373741694976,"[-42.8259693, -2.7541271]"
1297652911590256643,"[-51.2303767, -30.0324999]"
1297527050698403841,"[-39.3036427, -7.3121067]"
1297270561886928897,"[-46.5547861, -23.1177393]"
1297270409101037581,"[-46.5547861, -23.1177393]"
1297170488326852608,"[-34.8848193, -8.0584933]"
1296610519890243585,"[-53.2, -10.3333333]"
1296407890052481026,"[-53.2, -10.3333333]"
1296184815885131781,"[-53.2, -10.3333333]"
1295905680054988804,"[-53.2, -10.3333333]"
1295814964129792001,"[-43.2093727, -22.9110137]"
1295733566945492994,"[-53.2, -10.3333333]"
1295698736916631557,"[-38.300898, -12.530685]"
1295323017871056896,"[-38.300898, -12.530685]"
1295305952019832834,"[-59.9825041, -3.1316333]"
1295000383274844161,"[-55.9878139, -4.2625218]"
1294984150257225729,"[-44.2448718, -2.5634605]"
1294972391832117248,"[-42.1073048, -19.6344637]"
1294763123291729920,"[-119.65724412283629, 37.333178000000004]"
1294729312080400385,"[-43.2093727, -22.9110137]"
1294632438866616321,"[-43.210495, -22.9519173]"
1294620399037288450,"[-43.2093727, -22.9110137]"
1294383111342620673,"[-44.5633108, -22.4955278]"
1294351738263281665,"[-8.235806258378389, 41.87750075]"
1294221153343545345,"[-45.8866816, -23.1860383]"
1294071078453682176,"[-38.300898, -12.530685]"
1293938452602531842,"[-51.0569588, 0.0401529]"
1293327181494603783,"[-53.2, -10.3333333]"
1293269740253777921,"[-49.5917477202112, -28.0638833]"
